qid,group,instruction_type,run,step,instruction_used,precision,recall,f1,n_facts_pred,n_supported_pred,n_e0_facts,n_recalled
2hop__14092_8311,content,elaborate,0,1,"Elaborate on the content, adding relevant details while staying faithful to the source text.",0.782258064516129,0.663594470046083,0.7180568050379129,124,97,217,144
2hop__14092_8311,content,elaborate,0,2,"Elaborate on the content, adding relevant details while staying faithful to the source text.",0.6944444444444444,0.5668202764976958,0.6241753780574443,108,75,217,123
2hop__14092_8311,content,elaborate,0,3,"Elaborate on the content, adding relevant details while staying faithful to the source text.",0.6460176991150443,0.2211981566820276,0.32955560780625437,113,73,217,48
2hop__14092_8311,content,elaborate,1,1,"Expand the text with more context, without introducing information that is not supported by the original.",0.7346938775510204,0.5345622119815668,0.6188500296384114,98,72,217,116
2hop__14092_8311,content,elaborate,1,2,"Expand the text with more context, without introducing information that is not supported by the original.",0.7647058823529411,0.2995391705069124,0.43046357615894043,68,52,217,65
2hop__14092_8311,content,elaborate,1,3,"Expand the text with more context, without introducing information that is not supported by the original.",0.6623376623376623,0.2995391705069124,0.4125186660029865,77,51,217,65
2hop__14092_8311,content,elaborate,2,1,"Add more detail, keeping every fact grounded in the source material.",0.7850467289719626,0.5622119815668203,0.6552010741001214,107,84,217,122
2hop__14092_8311,content,elaborate,2,2,"Add more detail, keeping every fact grounded in the source material.",0.6218487394957983,0.4516129032258064,0.5232323232323232,119,74,217,98
2hop__14092_8311,content,elaborate,2,3,"Add more detail, keeping every fact grounded in the source material.",0.7647058823529411,0.4377880184331797,0.5568079350766456,119,91,217,95
2hop__14092_8311,style,formality,0,1,Make the text more formal.,0.8117647058823529,0.6912442396313364,0.7466724380478303,170,138,217,150
2hop__14092_8311,style,formality,0,2,Make the text more formal.,0.8,0.5852534562211982,0.675981370592149,135,108,217,127
2hop__14092_8311,style,formality,0,3,Make the text more formal.,0.75,0.3594470046082949,0.48598130841121484,84,63,217,78
2hop__14092_8311,style,formality,1,1,Rephrase it to be more formal.,0.8095238095238095,0.6359447004608295,0.7123121299529376,126,102,217,138
2hop__14092_8311,style,formality,1,2,Rephrase it to be more formal.,0.8214285714285714,0.271889400921659,0.40855035375583315,56,46,217,59
2hop__14092_8311,style,formality,1,3,Rephrase it to be more formal.,0.7954545454545454,0.1751152073732718,0.28704003453113186,44,35,217,38
2hop__14092_8311,style,formality,2,1,"Too conversational, rephrase it to be more formal.",0.848,0.6036866359447005,0.7052848109302385,125,106,217,131
2hop__14092_8311,style,formality,2,2,"Too conversational, rephrase it to be more formal.",0.8050847457627118,0.5161290322580645,0.6290088971653216,118,95,217,112
2hop__14092_8311,style,formality,2,3,"Too conversational, rephrase it to be more formal.",0.7352941176470589,0.152073732718894,0.2520238277073468,34,25,217,33
2hop__14092_8311,style,paraphrase,0,1,Paraphrase this.,0.8207547169811321,0.5345622119815668,0.6474418604651163,106,87,217,116
2hop__14092_8311,style,paraphrase,0,2,Paraphrase this.,0.8048780487804879,0.2534562211981567,0.38551401869158874,41,33,217,55
2hop__14092_8311,style,paraphrase,0,3,Paraphrase this.,0.7894736842105263,0.1566820276497695,0.26147141758523446,38,30,217,34
2hop__14092_8311,style,paraphrase,1,1,Reword this text.,0.83,0.5207373271889401,0.639964518440176,100,83,217,113
2hop__14092_8311,style,paraphrase,1,2,Reword this text.,0.7857142857142857,0.4654377880184331,0.5845830044725071,70,55,217,101
2hop__14092_8311,style,paraphrase,1,3,Reword this text.,0.6461538461538462,0.3640552995391705,0.4657168924135027,65,42,217,79
2hop__14092_8311,style,paraphrase,2,1,Use different wording.,0.7534246575342466,0.543778801843318,0.6316609080733856,219,165,217,118
2hop__14092_8311,style,paraphrase,2,2,Use different wording.,0.7611940298507462,0.5990783410138248,0.6704758052282954,134,102,217,130
2hop__14092_8311,style,paraphrase,2,3,Use different wording.,0.775,0.5391705069124424,0.6359253090207767,120,93,217,117
2hop__14092_8311,content,shorten,0,1,Make wording more concise.,0.7702702702702703,0.3824884792626728,0.5111555291448328,74,57,217,83
2hop__14092_8311,content,shorten,0,2,Make wording more concise.,0.796875,0.3870967741935484,0.5210727969348659,64,51,217,84
2hop__14092_8311,content,shorten,0,3,Make wording more concise.,0.7962962962962963,0.2764976958525346,0.41046853870018296,54,43,217,60
2hop__14092_8311,content,shorten,1,1,Rephrase for clarity and conciseness.,0.5957446808510638,0.271889400921659,0.3733755226579274,47,28,217,59
2hop__14092_8311,content,shorten,1,2,Rephrase for clarity and conciseness.,0.5957446808510638,0.2488479262672811,0.3510564197817507,47,28,217,54
2hop__14092_8311,content,shorten,1,3,Rephrase for clarity and conciseness.,0.5641025641025641,0.2304147465437788,0.3271861986912552,39,22,217,50
2hop__14092_8311,content,shorten,2,1,"Improve accuracy, clarity, and conciseness of language.",0.7479674796747967,0.6267281105990783,0.682001526218249,123,92,217,136
2hop__14092_8311,content,shorten,2,2,"Improve accuracy, clarity, and conciseness of language.",0.7704918032786885,0.3225806451612903,0.4547653604257378,61,47,217,70
2hop__14092_8311,content,shorten,2,3,"Improve accuracy, clarity, and conciseness of language.",0.7457627118644068,0.2995391705069124,0.4274079055518195,59,44,217,65
