qid,group,instruction_type,run,step,fact,check1_label,check1_raw,check2_label,check2_raw,final_taxonomy
2hop__635544_110949,content,elaborate,0,1,Shirley Abicair was born in 1935.,neutral,"{""label"": ""neutral""}",world_true,"{""label"": ""world_true""}",extrinsic_true
2hop__635544_110949,content,elaborate,0,1,"He appeared in politics on October 13, 1382.",neutral,"{""label"": ""neutral""}",world_uncertain,"{""label"": ""world_uncertain""}",extrinsic_uncertain
2hop__635544_110949,content,elaborate,0,1,All states and territories consistently observed it as a public holiday from 1994 onwards.,neutral,"{""label"": ""neutral""}",world_uncertain,"{""label"": ""world_uncertain""}",extrinsic_uncertain
2hop__635544_110949,content,elaborate,0,1,She passed away in 1997.,neutral,"{""label"": ""neutral""}",world_uncertain,"{""label"": ""world_uncertain""}",extrinsic_uncertain
2hop__635544_110949,content,elaborate,0,1,"Pir Syed Muhammad Binyamin Rizvi was born on August 15, 1959.",neutral,"{""label"": ""neutral""}",world_uncertain,"{""label"": ""world_uncertain""}",extrinsic_uncertain
2hop__635544_110949,content,elaborate,0,1,William Shakespeare's mother was Mary Arden.,neutral,"{""label"": ""neutral""}",world_true,"{""label"": ""world_true""}",extrinsic_true
2hop__635544_110949,content,elaborate,0,1,"He was baptized on April 26, 15 64.",neutral,"{""label"": ""neutral""}",world_uncertain,"{""label"": ""world_uncertain""}",extrinsic_uncertain
2hop__635544_110949,content,elaborate,0,1,He was the eldest surviving son.,neutral,"{""label"": ""neutral""}",world_uncertain,"{""label"": ""world_uncertain""}",extrinsic_uncertain
2hop__635544_110949,content,elaborate,0,1,"Clara Morris was born on March 17, 1949.",contradicts,"{""label"": ""contradicts""}",,,intrinsic
2hop__635544_110949,content,elaborate,0,1,Some sources suggest that Clara Morris was born in 1946.,neutral,"{""label"": ""neutral""}",world_false,"{""label"": ""world_false""}",extrinsic_false
2hop__635544_110949,content,elaborate,0,1,Some sources suggest that Clara Morris was born in 1948.,neutral,"{""label"": ""neutral""}",world_false,"{""label"": ""world_false""}",extrinsic_false
2hop__635544_110949,content,elaborate,0,1,She was known for her sharp wit.,neutral,"{""label"": ""neutral""}",world_uncertain,"{""label"": ""world_uncertain""}",extrinsic_uncertain
2hop__635544_110949,content,elaborate,0,1,She was known for her acting prowess.,neutral,"{""label"": ""neutral""}",world_uncertain,"{""label"": ""world_uncertain""}",extrinsic_uncertain
2hop__635544_110949,content,elaborate,0,2,Shirley Abicair was born in 1935.,neutral,"{""label"": ""neutral""}",world_true,"{""label"": ""world_true""}",extrinsic_true
2hop__635544_110949,content,elaborate,0,2,Švitrigaila was a son of Uliana of Tver.,contradicts,"{""label"": ""contradicts""}",,,intrinsic
2hop__635544_110949,content,elaborate,0,2,All states and territories consistently observing it as a public holiday from 1994 onwards.,neutral,"{""label"": ""neutral""}",world_uncertain,"{""label"": ""world_uncertain""}",extrinsic_uncertain
2hop__635544_110949,content,elaborate,0,2,Giovanni Cifolelli made his debut in Paris in 1864.,neutral,"{""label"": ""neutral""}",world_uncertain,"{""label"": ""world_uncertain""}",extrinsic_uncertain
2hop__635544_110949,content,elaborate,0,2,He was highly esteemed.,neutral,"{""label"": ""neutral""}",world_uncertain,"{""label"": ""world_uncertain""}",extrinsic_uncertain
2hop__635544_110949,content,elaborate,0,2,She secured eight wickets in the Test matches.,neutral,"{""label"": ""neutral""}",world_uncertain,"{""label"": ""world_uncertain""}",extrinsic_uncertain
2hop__635544_110949,content,elaborate,0,2,Pir Syed Muhammad Binyamin Rizvi was the eldest son of Pir Syed Mohammad Yaqoob Shah.,contradicts,"{""label"": ""contradicts""}",,,intrinsic
2hop__635544_110949,content,elaborate,0,2,Jupiter announced the birth of the god Osiris.,neutral,"{""label"": ""neutral""}",world_false,"{""label"": ""world_false""}",extrinsic_false
2hop__635544_110949,content,elaborate,0,2,He was the eldest surviving son.,neutral,"{""label"": ""neutral""}",world_uncertain,"{""label"": ""world_uncertain""}",extrinsic_uncertain
2hop__635544_110949,content,elaborate,0,2,Males were required to serve three years on the active reserve list.,neutral,"{""label"": ""neutral""}",world_uncertain,"{""label"": ""world_uncertain""}",extrinsic_uncertain
2hop__635544_110949,content,elaborate,0,2,"Clara Morris was born on March 17, 1949.",contradicts,"{""label"": ""contradicts""}",,,intrinsic
2hop__635544_110949,content,elaborate,0,2,Clara Morris was known for her wit.,neutral,"{""label"": ""neutral""}",world_true,"{""label"": ""world_true""}",extrinsic_true
2hop__635544_110949,content,elaborate,0,2,The transition occurred in 1983.,neutral,"{""label"": ""neutral""}",world_uncertain,"{""label"": ""world_uncertain""}",extrinsic_uncertain
2hop__635544_110949,content,elaborate,0,2,Mauro Scocco was born in Sweden.,neutral,"{""label"": ""neutral""}",world_true,"{""label"": ""world_true""}",extrinsic_true
2hop__635544_110949,content,elaborate,0,3,Shirley Abicair was born in 1935.,neutral,"{""label"": ""neutral""}",world_true,"{""label"": ""world_true""}",extrinsic_true
2hop__635544_110949,content,elaborate,0,3,The values of his service influenced her upbringing.,neutral,"{""label"": ""neutral""}",world_uncertain,"{""label"": ""world_uncertain""}",extrinsic_uncertain
2hop__635544_110949,content,elaborate,0,3,She moved to Britain seeking new opportunities and a fresh start in the United Kingdom.,neutral,"{""label"": ""neutral""}",world_uncertain,"{""label"": ""world_uncertain""}",extrinsic_uncertain
2hop__635544_110949,content,elaborate,0,3,She is an entertainer.,neutral,"{""label"": ""neutral""}",world_uncertain,"{""label"": ""world_uncertain""}",extrinsic_uncertain
2hop__635544_110949,content,elaborate,0,3,She is a television personality.,neutral,"{""label"": ""neutral""}",world_uncertain,"{""label"": ""world_uncertain""}",extrinsic_uncertain
2hop__635544_110949,content,elaborate,0,3,This dating system was created to standardize the dating system used in Europe.,neutral,"{""label"": ""neutral""}",world_uncertain,"{""label"": ""world_uncertain""}",extrinsic_uncertain
2hop__635544_110949,content,elaborate,0,3,This system has been widely adopted globally.,neutral,"{""label"": ""neutral""}",world_uncertain,"{""label"": ""world_uncertain""}",extrinsic_uncertain
2hop__635544_110949,content,elaborate,0,3,Švitrigaila was born between 1378 and 1382.,neutral,"{""label"": ""neutral""}",world_true,"{""label"": ""world_true""}",extrinsic_true
2hop__635544_110949,content,elaborate,0,3,This claim sparked political tensions.,neutral,"{""label"": ""neutral""}",world_uncertain,"{""label"": ""world_uncertain""}",extrinsic_uncertain
2hop__635544_110949,content,elaborate,0,3,Jogaila's representatives neither confirmed nor outright denied the assertion.,neutral,"{""label"": ""neutral""}",world_uncertain,"{""label"": ""world_uncertain""}",extrinsic_uncertain
2hop__635544_110949,content,elaborate,0,3,All states and territories consistently observing it as a public holiday from 1994 onwards.,neutral,"{""label"": ""neutral""}",world_uncertain,"{""label"": ""world_uncertain""}",extrinsic_uncertain
2hop__635544_110949,content,elaborate,0,3,This day celebrates Australia's diverse culture and history.,neutral,"{""label"": ""neutral""}",world_true,"{""label"": ""world_true""}",extrinsic_true
2hop__635544_110949,content,elaborate,0,3,Giovanni Cifolelli made his debut in Paris in 1964.,contradicts,"{""label"": ""contradicts""}",,,intrinsic
2hop__635544_110949,content,elaborate,0,3,His influence on the mandolin repertoire is well-documented.,neutral,"{""label"": ""neutral""}",world_true,"{""label"": ""world_true""}",extrinsic_true
