match_type,bleurt_answer,question,gold_answer,predicted_answer,answer_f1,qid,instruction_type,group,step,run,correct
exact_norm+bleurt_high,0.9548396468162536,"According to QS World University Rankings, what is the ranking of the place that employed Said Ashour?",551-600,551–600,0.0,2hop__403580_37168,shorten,content,3,1,
exact_norm+bleurt_high,0.9548396468162536,Where does the employer of Hasan Hanafi rank according to QS World University Rankings?,551-600,551–600,0.0,2hop__703767_37168,shorten,content,3,0,
gold_in_pred+bleurt_mid,0.3832378387451172,"According to QS World University Rankings, what is the ranking of the place that employed Said Ashour?",551-600,Cairo University is ranked 401-500th globally by the Shanghai Ranking and 551-600th by QS.,0.0,2hop__403580_37168,elaborate,content,1,1,
bleurt_high,0.8445777297019958,By how much of the population of the region where Baton a feu originated reduced by the black death?,30% to 65%,30–65%,0.0,2hop__691455_64006,shorten,content,2,0,
bleurt_high,0.8445777297019958,By how much of the population of the region where Baton a feu originated reduced by the black death?,30% to 65%,30–65%,0.0,2hop__691455_64006,formality,style,2,1,
bleurt_high,0.8445777297019958,By how much of the population of the region where Baton a feu originated reduced by the black death?,30% to 65%,30–65%,0.0,2hop__691455_64006,formality,style,1,2,
bleurt_high,0.8445777297019958,By how much of the population of the region where Baton a feu originated reduced by the black death?,30% to 65%,30–65%,0.0,2hop__691455_64006,paraphrase,style,1,1,
bleurt_high,0.8445777297019958,By how much of the population of the region where Baton a feu originated reduced by the black death?,30% to 65%,30–65%,0.0,2hop__691455_64006,paraphrase,style,2,1,
bleurt_high,0.8445777297019958,By how much of the population of the region where Baton a feu originated reduced by the black death?,30% to 65%,30–65%,0.0,2hop__691455_64006,paraphrase,style,3,1,
bleurt_high,0.7866929173469543,By how much of the population of the region where Baton a feu originated reduced by the black death?,30% to 65%,30–60%,0.0,2hop__691455_64006,shorten,content,2,2,
bleurt_high,0.7866929173469543,By how much of the population of the region where Baton a feu originated reduced by the black death?,30% to 65%,30–60%,0.0,2hop__691455_64006,shorten,content,3,2,
bleurt_high,0.7866929173469543,How much did the Black Death reduce the population of the region offered aid by the marshall plan?,30% to 65%,30–60%,0.0,2hop__88953_64006,elaborate,content,3,1,
bleurt_high,0.7866929173469543,How much did the Black Death reduce the population of the region offered aid by the marshall plan?,30% to 65%,30–60%,0.0,2hop__88953_64006,formality,style,3,2,
bleurt_high,0.7785724401473999,Where does the city where Veoh's headquarters is located rank in the top five largest urban areas of the state where The Paramour Sessions' performers were formed?,third-largest,third largest,0.0,4hop3__668721_132409_371500_35031,shorten,content,1,0,
bleurt_high,0.770717203617096,"When was ""Slavs"" used in the national anthem of the country whose military having the Air Defense Artillery was unprepared for the invasion of the country conquered by the Pact?",1943–1992,1943 to 1992,0.0,4hop2__5206_14670_8987_8529,elaborate,content,1,0,
bleurt_high,0.770717203617096,"When was ""Slavs"" used in the national anthem of the country whose military having the Air Defense Artillery was unprepared for the invasion of the country conquered by the Pact?",1943–1992,1943 to 1992,0.0,4hop2__5206_14670_8987_8529,elaborate,content,2,2,
bleurt_high,0.770717203617096,"When was ""Slavs"" used in the national anthem of the country whose military having the Air Defense Artillery was unprepared for the invasion of the country conquered by the Pact?",1943–1992,1943 to 1992,0.0,4hop2__5206_14670_8987_8529,elaborate,content,3,2,
