qid,group,instruction_type,run,step,fact,label,raw
2hop__635544_110949,content,elaborate,0,0,Shirley is a person.,E0,
2hop__635544_110949,content,elaborate,0,0,Shirley Abicair was born in Melbourne.,E0,
2hop__635544_110949,content,elaborate,0,0,Melbourne is in Victoria.,E0,
2hop__635544_110949,content,elaborate,0,0,Victoria is in Australia.,E0,
2hop__635544_110949,content,elaborate,0,0,Some sources show her year of birth as 1935.,E0,
2hop__635544_110949,content,elaborate,0,0,A contemporary account shows she was 23 or 24 on arrival in Britain.,E0,
2hop__635544_110949,content,elaborate,0,0,She had completed tertiary studies in Australia.,E0,
2hop__635544_110949,content,elaborate,0,0,The earlier date seems more likely.,E0,
2hop__635544_110949,content,elaborate,0,0,She was the daughter of a Wing Commander in the RAAF.,E0,
2hop__635544_110949,content,elaborate,0,0,Anno Domini is a term.,E0,
2hop__635544_110949,content,elaborate,0,0,This calendar era is based on the traditionally reckoned year of the conception or birth of Jesus of Nazareth.,E0,
2hop__635544_110949,content,elaborate,0,0,AD counting years from the start of this epoch.,E0,
2hop__635544_110949,content,elaborate,0,0,BC denoting years before the start of the era.,E0,
2hop__635544_110949,content,elaborate,0,0,There is no year zero in this scheme.,E0,
2hop__635544_110949,content,elaborate,0,0,The year AD 1 immediately follows the year 1 BC.,E0,
2hop__635544_110949,content,elaborate,0,0,Dionysius Exiguus of Scythia Minor devised the dating system.,E0,
2hop__635544_110949,content,elaborate,0,0,The dating system was devised in 525.,E0,
2hop__635544_110949,content,elaborate,0,0,The dating system was not widely used until after 800.,E0,
2hop__635544_110949,content,elaborate,0,0,Švitrigaila is a person.,E0,
2hop__635544_110949,content,elaborate,0,0,Švitrigaila was born to Algirdas.,E0,
2hop__635544_110949,content,elaborate,0,0,Švitrigaila was born to Uliana of Tver.,E0,
2hop__635544_110949,content,elaborate,0,0,"Švitrigaila was born to Algirdas, Grand Duke of Lithuania.",E0,
2hop__635544_110949,content,elaborate,0,0,His date of birth is unknown.,E0,
2hop__635544_110949,content,elaborate,0,0,He is believed to be the youngest or second youngest son of Algirdas.,E0,
2hop__635544_110949,content,elaborate,0,0,He first appeared in politics in October 1382.,E0,
2hop__635544_110949,content,elaborate,0,0,He witnessed the Treaty of Dubysa.,E0,
2hop__635544_110949,content,elaborate,0,0,The Treaty of Dubysa was between his elder brother Jogaila and the Teutonic Knights.,E0,
2hop__635544_110949,content,elaborate,0,0,Švitrigaila was no younger than 12.,E0,
2hop__635544_110949,content,elaborate,0,0,Švitrigaila's date of birth was sometime before 1370.,E0,
2hop__635544_110949,content,elaborate,0,0,Švitrigaila submitted a complaint to the Council of Florence.,E0,
2hop__635544_110949,content,elaborate,0,0,Švitrigaila claimed that he and Jogaila were Algirdas' favorite sons.,E0,
2hop__635544_110949,content,elaborate,0,0,Algirdas transferred his throne to Jogaila.,E0,
2hop__635544_110949,content,elaborate,0,0,Jogaila swore to make Švitrigaila his heir.,E0,
2hop__635544_110949,content,elaborate,0,0,Algirdas died in 1377.,E0,
2hop__635544_110949,content,elaborate,0,0,Jogaila's representatives did not outright deny the arrangement.,E0,
