qid,group,compression,n_lost,n_added,lost,added,analysis
2hop__269076_449113,least_compressed,0.486,5,3,"Details about the specific airports from which Brit Air operates. | The mention of BA Connect's food service being sold via a 'buy on board' program except for flights to London City Airport. | The specific historical context and operational details of No. 84 Wing RAAF, including the types of aircraft operated and the timeline of its reformation. | The operational license loss details for Rico Linhas Aéreas, which were more specific in the original. | The specific mention of the merger with Sprouts Farmers Market in the context of Sunflower Farmers Market's operational history.","The phrase 'located in the Brittany region of France' in the description of Brit Air. | The phrase 'known for its diverse programming catering to a broad audience' in the description of Radio SRF 1. | The mention of Precision Air being listed on the Dar es Salaam Exchange as PAL, which was not in the original.","Il testo riscritto presenta una serie di modifiche rispetto all'originale, sia in termini di contenuto che di stile. In primo luogo, la riscrittura tende a utilizzare un linguaggio più formale e dettagliato, il che può rendere il testo più accessibile a un pubblico più ampio. Ad esempio, l'originale ""Brit Air (short for Brittany Air International)"" è stato ampliato in ""Brit Air, officially known as Brittany Air International,"" il che fornisce una maggiore chiarezza. Tuttavia, ci sono anche delle perdite significative di dettagli. Ad esempio, l'originale menziona specificamente che Brit Air opera come franchising di Air France, mentre la riscrittura si limita a dire che fornisce voli passeggeri programmati ""principalmente come franchising di Air France"" senza il contesto di operare da aeroporti specifici. Inoltre, la riscrittura ha omesso dettagli importanti come le date di cessazione delle operazioni di alcune compagnie aeree, che sono cruciali per comprendere la loro storia. La riscrittura ha anche distorto alcune informazioni, come nel caso di Air Volga, dove l'originale menzionava che l'azienda era autorizzata a operare voli di passeggeri programmati e charter, ma la riscrittura ha semplificato a ""specializzandosi in voli passeggeri programmati e charter"" senza il contesto di autorizzazione. Infine, ci sono stati aggiustamenti nel tono, con un passaggio da un linguaggio più diretto e conciso a uno più descrittivo e articolato, il che può rendere il testo più lungo e meno immediato. In generale, la riscrittura ha cercato di elaborare il contenuto, ma ha anche compresso o parafrasato informazioni chiave, portando a una perdita di dettagli e precisione."
2hop__697729_576069,least_compressed,0.488,3,3,"Overweg's expedition was a 3-man expedition, not a three-person expedition. | The original text states that Overweg died after swimming in cold waters, while the rewrite says shortly after swimming in cold water, which implies a more immediate cause of death. | The original text mentions that Overweg trekked by route of Zinder to Kukawa, while the rewrite states he traveled via Zinder to Kukawa, which is less specific about the nature of the journey.","The rewrite adds that Overweg's mission was on behalf of the British government, which is implied but not explicitly stated in the original. | The rewrite elaborates on the significance of the Alau Dam's impact on local agriculture and the natural environment, which was not mentioned in the original. | The rewrite provides additional context about Adolf Fischhof's contributions to literature and political life, which was not detailed in the original.","Il testo originale presenta una serie di biografie e descrizioni di luoghi e concetti in modo conciso e diretto. La versione riscritta, invece, si sforza di elaborare e arricchire le informazioni, ma in alcuni casi perde la precisione e la concisione del testo originale. Ad esempio, la riscrittura di Adolf Overweg aggiunge dettagli come 'trasportando una barca su cammelli' e 'soprattutto completò il primo circumnavigazione del Lago Ciad', che, sebbene informativi, non sono presenti nel modo così diretto nel testo originale. Inoltre, la riscrittura tende a rendere il linguaggio più formale e descrittivo, il che può distorcere il tono originale, che era più neutro e informativo. In alcuni casi, come con la sezione su Adolf Fischhof, la riscrittura introduce dettagli sulla sua carriera letteraria e politica che non erano specificati nel testo originale. In generale, la riscrittura sembra più un tentativo di espandere le informazioni piuttosto che un semplice riassunto, ma in questo processo, alcune informazioni chiave sono state distorte o perse."
2hop__128342_375952,least_compressed,0.513,3,5,"Population of Lyuberetsky District was incorrectly stated as 408,540 instead of 265,113. | Population of Sokolniki District was omitted entirely. | Population of Irkutsky District was omitted entirely.","Chelyabinsk is known for its industrial heritage and scientific research institutions. | Sokolniki District is described as densely populated with a mix of residential and industrial areas. | Minsk Region is described as the most populous region in Belarus, which was not stated in the original. | Tumaraa is described as the smallest and least populated commune on Raiatea Island. | Yaroslavl is noted for its architectural heritage and cultural significance, which was not mentioned in the original.","Il testo originale presenta una serie di descrizioni concise e dirette di diverse località, fornendo informazioni geografiche e demografiche senza fronzoli. La versione riscritta, invece, si sforza di elaborare e arricchire il contenuto, aggiungendo dettagli contestuali e storici, ma a volte a scapito della precisione e della chiarezza. Ad esempio, la riscrittura di Chelyabinsk menziona il suo 'patrimonio industriale e istituzioni di ricerca scientifica', che non era presente nel testo originale. Questo tipo di aggiunta, sebbene interessante, può distorcere l'intento originale di fornire semplicemente dati fattuali. Inoltre, la riscrittura tende a utilizzare un linguaggio più elaborato e formale, il che cambia il tono generale del testo, rendendolo più descrittivo e meno diretto. Alcuni dati demografici sono stati modificati o ampliati, come nel caso di Lyuberetsky District, dove la popolazione è stata erroneamente aumentata a 408,540, mentre il dato originale era 265,113. In generale, la riscrittura ha cercato di elaborare, ma ha anche compresso o distorto alcune informazioni."
2hop__341305_332933,least_compressed,0.547,4,3,"The term 'comitatus' was replaced with 'administrative division', losing the specific historical context. | The original mention of 'the plethora of states' was simplified to 'this complex arrangement', losing some nuance. | The original text's concise mention of the capital of Kis-Küküllő was expanded but lost the term 'capital'. | The original text's mention of the number of states at independence was simplified, losing the emphasis on the historical context.","The phrase 'turbulent history' in reference to Nigeria adds a subjective interpretation not present in the original. | The mention of the legislative powers of states in Nigeria was elaborated upon, providing more detail than the original. | The description of the governance structure in Australia was expanded with additional details about the legislative assemblies and their functions.","Il testo riscritto presenta una serie di cambiamenti significativi rispetto all'originale. In primo luogo, la riscrittura tende a essere più dettagliata e formale, con un linguaggio più elaborato e una struttura più complessa. Ad esempio, l'originale ""Kis-Küküllő was an administrative county (comitatus) of the Kingdom of Hungary"" diventa ""Kis-Küküllő County was an administrative division within the Kingdom of Hungary,"" il che non solo cambia la terminologia ma anche il tono, rendendolo più accademico. Inoltre, il riscritto include dettagli aggiuntivi, come la menzione della ""turbulent history"" della Nigeria, che non era presente nell'originale. Tuttavia, ci sono anche perdite e distorsioni: ad esempio, l'originale menzionava che la capitale del Kis-Küküllő era ""Dicsőszentmárton (now Târnăveni)"" mentre il riscritto omette il termine ""capitale"" e si concentra solo sul nome attuale. Inoltre, il riscritto tende a ripetere informazioni già fornite, come nel caso della Nigeria, dove la struttura di governo è descritta in modo più dettagliato ma con una certa ridondanza. In generale, mentre il riscritto cerca di elaborare e fornire un contesto più ampio, a volte si allontana dall'essenza concisa e diretta dell'originale, portando a una certa confusione e a una diluizione delle informazioni chiave."
2hop__131951_643670,least_compressed,0.566,7,5,"Wapizagonke Lake is one of the bodies of water | The remaining animals form a monophyletic group | The body is triploblastic, i.e. all three germ layers are well-developed | The digestive chamber has two openings, a mouth and an anus | There are exceptions to each of these characteristics, however — for instance adult echinoderms are radially symmetric, and certain parasitic worms have extremely simplified body structures. | Halmyris was a Roman and Byzantine fort, settlement and naval port | It is locally known as the site where the bodies of two Christian saints, Epictet and Astion, were uncovered between 2001 and 2004.","Wapizagonke Lake plays an important role in the local ecosystem. | The Bilateria is a clade consisting of all animals that are descended from a common ancestor with bilateral symmetry. | Most bilaterians exhibit a distinct head containing specialized sensory and feeding organs. | The Secchi disk is a standard measurement in limnology, reflecting the clarity of the water. | Walker Pond is a notable local feature, contributing to the area’s natural landscape.","Il testo originale presenta una serie di descrizioni concise e dirette di vari corpi idrici, organismi e luoghi, mantenendo uno stile informativo e neutro. La riscrittura, invece, si è concentrata su un'elaborazione più dettagliata, aggiungendo contesto e informazioni supplementari, ma ha anche introdotto alcune distorsioni e ha perso la concisione del testo originale. Ad esempio, la descrizione del Lago Wapizagonke è stata ampliata per includere il suo ruolo nell'ecosistema locale, un'informazione non presente nell'originale. Inoltre, la riscrittura ha utilizzato un linguaggio più complesso e una struttura più articolata, il che ha reso il testo più pesante e meno diretto. In alcuni casi, come nel paragrafo su 'Once Upon a Time in the West', la riscrittura ha mantenuto i dettagli chiave ma ha anche aggiunto frasi che, sebbene informative, hanno reso il passaggio più lungo e meno incisivo. In generale, la riscrittura ha cercato di elaborare, ma ha anche compresso e parafrasato, perdendo la chiarezza e la semplicità del testo originale."
2hop__635544_110949,most_compressed,0.106,0,3,,Scocco è descritto come 'uno dei parolieri più acuti in Svezia' | La riscrittura enfatizza il suo 'talento' e 'abilità' come paroliere | Dettagli sulla formazione iniziale della band Ratata e la sua transizione a un duo sono più elaborati,"Il testo originale su Mauro Scocco è conciso e diretto, fornendo informazioni essenziali sulla sua carriera e sulla sua origine. La riscrittura, pur mantenendo le informazioni principali, aggiunge dettagli e una certa enfasi sul suo talento come paroliere, il che potrebbe essere visto come un tentativo di rendere il testo più accattivante. Tuttavia, la riscrittura non perde informazioni significative, ma piuttosto le espande. La tonalità è più celebrativa nella riscrittura, enfatizzando il riconoscimento di Scocco come uno dei migliori parolieri in Svezia. In generale, la riscrittura non comprime o parafrasa, ma piuttosto elabora e arricchisce il contenuto originale."
2hop__362912_97805,most_compressed,0.148,2,2,"The original text's mention of the Philippine Navy's founding date as May 20, 1898, is retained but lacks the context of its 125th anniversary in the rewritten version. | The original text's concise listing of ships and personnel is expanded in the rewrite, losing the original's brevity and straightforwardness.","The rewritten text states that the Philippine Navy marks 125 years since its founding, which is not mentioned in the original. | The rewrite includes specific details about the operational roles of the aircraft, such as their use for patrol and reconnaissance missions, which were not specified in the original.","Il testo originale fornisce una panoramica concisa e informativa della Marina Filippina, elencando i dettagli chiave come la data di fondazione, la composizione della forza, le navi e le operazioni storiche. Tuttavia, la riscrittura espande notevolmente queste informazioni, aggiungendo dettagli specifici e contestualizzando meglio la storia della marina. Ad esempio, la riscrittura menziona che la marina celebra 125 anni dalla sua fondazione, un'informazione non presente nel testo originale. Inoltre, la riscrittura fornisce un elenco più dettagliato delle navi e degli aerei, specificando le loro funzioni e i piani futuri, il che arricchisce il contenuto. Tuttavia, la riscrittura perde un po' della concisione e della neutralità del testo originale, adottando uno stile più descrittivo e celebrativo. In generale, la riscrittura ha elaborato il contenuto, ma ha anche introdotto un tono più enfatico e meno diretto."
2hop__864101_135373,most_compressed,0.156,2,1,"La specifica che il fault è stato identificato nella ""zona settentrionale"" non è presente nell'originale. | L'originale non menziona l'influenza della faglia sulla comprensione della tettonica a placche.","L'affermazione che la faglia ha avuto un ""profondo impatto"" sulla comprensione della tettonica a placche e dell'attività sismica nella regione.","Il testo originale e la sua versione riscritta presentano differenze significative sia nel contenuto che nello stile. La riscrittura ha mantenuto l'essenza delle informazioni, ma ha anche introdotto alcune distorsioni e aggiunte. Ad esempio, l'originale menziona che il fault è stato identificato nel 1895, ma non specifica che si trattava della ""zona settentrionale""; la riscrittura, invece, enfatizza questo punto, il che potrebbe dare l'impressione che Lawson avesse una visione limitata inizialmente. Inoltre, la riscrittura aggiunge dettagli sul ""profondo impatto"" della faglia sulla comprensione della tettonica a placche, un'affermazione che non è presente nel testo originale. La riscrittura ha anche un tono più formale e accademico, con frasi più lunghe e complesse, il che potrebbe rendere il testo meno accessibile rispetto all'originale. In generale, mentre la riscrittura ha elaborato alcune informazioni, ha anche compresso o parafrasato altre, portando a una perdita di alcune sfumature."
2hop__5658_25002,most_compressed,0.173,3,2,The specific mention of the treaty being signed at Jassy instead of Iași | The original text's reference to the treaty confirming Russia's dominance over contested areas | The lack of mention of the specific years of the Russo-Turkish War in the rewritten version,The phrase 'significant diplomatic victory for Russia' which is not in the original | The emphasis on 'reshaping the regional balance of power' which is not explicitly stated in the original,"Il testo originale e la riscrittura presentano differenze significative sia nel contenuto che nello stile. La riscrittura ha ampliato il contesto storico e diplomatico del Trattato di Iași, enfatizzando l'importanza della vittoria diplomatica per la Russia e il suo impatto sulla regione del Mar Nero. Tuttavia, ha anche distorto alcuni dettagli, come l'interpretazione del trattato come un 'significativo successo diplomatico', che non è esplicitamente menzionato nel testo originale. Inoltre, la riscrittura ha omesso informazioni specifiche, come il fatto che il trattato confermava il dominio russo su aree 'precedentemente contestate' con l'Impero Ottomano, senza fornire dettagli su quali fossero queste aree. La riscrittura ha un tono più enfatico e descrittivo, mentre l'originale è più diretto e conciso. In generale, la riscrittura ha elaborato il contenuto, ma ha anche compresso alcune informazioni chiave, portando a una rappresentazione meno precisa di alcuni aspetti storici."
2hop__22431_16335,most_compressed,0.186,4,3,Specificity of Ashkenazi identity and its historical context | Details on the genetic studies and their implications | Nuances of religious customs and their significance in intermarriage | The impact of the Holocaust on Yiddish language and culture,Discussion of pathogen load and its social implications | Generalization of Ashkenazi identity blurring due to migration | Mention of xenophobia in Switzerland and its relation to Jewish integration,"Il testo originale fornisce una panoramica dettagliata e complessa della storia, della genetica e delle pratiche culturali degli ebrei ashkenaziti, con un focus su aspetti specifici come l'origine genetica, le tradizioni religiose e l'impatto dell'Olocausto. La riscrittura, pur mantenendo alcuni di questi elementi, tende a semplificare e condensare le informazioni, perdendo dettagli cruciali e sfumature. Ad esempio, il testo originale discute in modo approfondito le differenze tra le linee paterne e materne degli ebrei ashkenaziti, mentre la riscrittura accenna a queste differenze senza fornire la stessa ricchezza di dati. Inoltre, la riscrittura introduce concetti come il carico patogeno e il suo impatto sui comportamenti sociali, che non erano presenti nel testo originale, il che può distorcere il focus originale sulla genetica e sull'identità culturale. La tonalità della riscrittura è più generale e meno accademica, il che potrebbe rendere il contenuto meno preciso per un lettore esperto. In sintesi, mentre la riscrittura cerca di elaborare il contenuto, in realtà comprime e semplifica, perdendo dettagli significativi e introducendo nuove idee che non erano nel testo originale."
