qid,group,instruction_type,run,step,question,gold_answer,gold_answer_aliases,predicted_answer,matched_reference,answer_f1
./cnn/stories/00ae31ff5ede1de6cd39eccf36bae935c882527b.story,content,elaborate,0,0,How many infants in China are reported ill from the tainted milk powder?,"nearly 53,000","nearly 53,000","nearly 53,000 others","nearly 53,000",0.8
./cnn/stories/00ae31ff5ede1de6cd39eccf36bae935c882527b.story,content,elaborate,0,1,How many infants in China are reported ill from the tainted milk powder?,"nearly 53,000","nearly 53,000","nearly 53,000 others ill","nearly 53,000",0.6666666666666666
./cnn/stories/00ae31ff5ede1de6cd39eccf36bae935c882527b.story,content,elaborate,0,2,How many infants in China are reported ill from the tainted milk powder?,"nearly 53,000","nearly 53,000","nearly 53,000 children sick","nearly 53,000",0.6666666666666666
./cnn/stories/00ae31ff5ede1de6cd39eccf36bae935c882527b.story,content,elaborate,0,3,How many infants in China are reported ill from the tainted milk powder?,"nearly 53,000","nearly 53,000","approximately 53,000 children falling ill","nearly 53,000",0.28571428571428575
./cnn/stories/00ae31ff5ede1de6cd39eccf36bae935c882527b.story,content,elaborate,1,0,How many infants in China are reported ill from the tainted milk powder?,"nearly 53,000","nearly 53,000","nearly 53,000 others","nearly 53,000",0.8
./cnn/stories/00ae31ff5ede1de6cd39eccf36bae935c882527b.story,content,elaborate,1,1,How many infants in China are reported ill from the tainted milk powder?,"nearly 53,000","nearly 53,000","nearly 53,000 others","nearly 53,000",0.8
./cnn/stories/00ae31ff5ede1de6cd39eccf36bae935c882527b.story,content,elaborate,1,2,How many infants in China are reported ill from the tainted milk powder?,"nearly 53,000","nearly 53,000","nearly 53,000 others, primarily children","nearly 53,000",0.5714285714285715
./cnn/stories/00ae31ff5ede1de6cd39eccf36bae935c882527b.story,content,elaborate,1,3,How many infants in China are reported ill from the tainted milk powder?,"nearly 53,000","nearly 53,000",at least four infants,"nearly 53,000",0.0
./cnn/stories/00ae31ff5ede1de6cd39eccf36bae935c882527b.story,content,elaborate,2,0,How many infants in China are reported ill from the tainted milk powder?,"nearly 53,000","nearly 53,000","nearly 53,000 others","nearly 53,000",0.8
./cnn/stories/00ae31ff5ede1de6cd39eccf36bae935c882527b.story,content,elaborate,2,1,How many infants in China are reported ill from the tainted milk powder?,"nearly 53,000","nearly 53,000","around 13,000 children hospitalized","nearly 53,000",0.0
