qid,n_hop,instruction_type,group,run,step,answer_f1,max_f1_in_chain,question,gold_answer,predicted_answer
2hop__14092_8311,2,elaborate,content,0,3,1.0,1.0,When was John's eldest son crowned?,1216,1216
2hop__14095_15463,2,elaborate,content,0,3,1.0,1.0,"In 2002, what company merged with the top PC manufacturer from 1994?",Hewlett Packard,Hewlett-Packard
2hop__14095_15463,2,formality,style,0,1,1.0,1.0,"In 2002, what company merged with the top PC manufacturer from 1994?",Hewlett Packard,Hewlett Packard
2hop__14095_15463,2,paraphrase,style,0,3,1.0,1.0,"In 2002, what company merged with the top PC manufacturer from 1994?",Hewlett Packard,Hewlett Packard
2hop__141456_6455,2,elaborate,content,0,1,1.0,1.0,What was the resulting browser for the company Mozilla Messaging is a part of?,Firefox,Firefox
2hop__141456_6455,2,elaborate,content,0,2,1.0,1.0,What was the resulting browser for the company Mozilla Messaging is a part of?,Firefox,Firefox
2hop__141456_6455,2,elaborate,content,0,3,1.0,1.0,What was the resulting browser for the company Mozilla Messaging is a part of?,Firefox,Firefox
2hop__141456_6455,2,elaborate,content,1,1,1.0,1.0,What was the resulting browser for the company Mozilla Messaging is a part of?,Firefox,Firefox
2hop__141456_6455,2,elaborate,content,1,2,1.0,1.0,What was the resulting browser for the company Mozilla Messaging is a part of?,Firefox,Firefox
2hop__141456_6455,2,elaborate,content,1,3,1.0,1.0,What was the resulting browser for the company Mozilla Messaging is a part of?,Firefox,Firefox
2hop__141456_6455,2,elaborate,content,2,1,1.0,1.0,What was the resulting browser for the company Mozilla Messaging is a part of?,Firefox,Firefox
2hop__141456_6455,2,elaborate,content,2,2,1.0,1.0,What was the resulting browser for the company Mozilla Messaging is a part of?,Firefox,Firefox
2hop__141456_6455,2,formality,style,0,1,1.0,1.0,What was the resulting browser for the company Mozilla Messaging is a part of?,Firefox,Firefox
2hop__141456_6455,2,formality,style,1,2,1.0,1.0,What was the resulting browser for the company Mozilla Messaging is a part of?,Firefox,Mozilla Firefox
2hop__141456_6455,2,formality,style,2,1,1.0,1.0,What was the resulting browser for the company Mozilla Messaging is a part of?,Firefox,Firefox
2hop__141456_6455,2,formality,style,2,2,1.0,1.0,What was the resulting browser for the company Mozilla Messaging is a part of?,Firefox,Firefox
2hop__141456_6455,2,paraphrase,style,0,1,1.0,1.0,What was the resulting browser for the company Mozilla Messaging is a part of?,Firefox,Firefox
2hop__141456_6455,2,paraphrase,style,0,2,1.0,1.0,What was the resulting browser for the company Mozilla Messaging is a part of?,Firefox,Firefox
2hop__141456_6455,2,paraphrase,style,1,1,1.0,1.0,What was the resulting browser for the company Mozilla Messaging is a part of?,Firefox,Firefox
2hop__141456_6455,2,paraphrase,style,1,2,1.0,1.0,What was the resulting browser for the company Mozilla Messaging is a part of?,Firefox,Firefox
2hop__141456_6455,2,paraphrase,style,1,3,1.0,1.0,What was the resulting browser for the company Mozilla Messaging is a part of?,Firefox,Firefox
2hop__141456_6455,2,paraphrase,style,2,1,1.0,1.0,What was the resulting browser for the company Mozilla Messaging is a part of?,Firefox,Firefox
2hop__141456_6455,2,shorten,content,0,1,1.0,1.0,What was the resulting browser for the company Mozilla Messaging is a part of?,Firefox,Firefox
2hop__141456_6455,2,shorten,content,0,2,1.0,1.0,What was the resulting browser for the company Mozilla Messaging is a part of?,Firefox,Firefox
2hop__141456_6455,2,shorten,content,0,3,1.0,1.0,What was the resulting browser for the company Mozilla Messaging is a part of?,Firefox,Firefox
