qid,group,instruction_type,run,step,fact,original_label,label,reason,evidence_match
2hop__14092_8311,content,elaborate,0,1,William Calverley was the son of Sir Walter Calverley and Anne Danby.,NOT_SUPPORTED,SUPPORTED,The ground truth explicitly states that William Calverley was the son of Sir Walter Calverley and Anne Danby.,"William Calverley was the son of Sir Walter Calverley and Anne Danby, daughter of Sir Christopher Danby"
2hop__14092_8311,content,elaborate,0,1,"Anne Danby was the granddaughter of Richard Neville, 2nd Baron Latimer.",NOT_SUPPORTED,DISTORTED,"The ground truth states that Anne Danby was the daughter of Sir Christopher Danby, not her granddaughter. This claim incorrectly states a familial relationship.",Ground truth states Anne Danby was the daughter of Sir Christopher Danby.
2hop__14092_8311,content,elaborate,0,1,"Sir William Maule succeeded his mother, Christina de Valognes, Baroness and Baron of Panmure and Benvie.",NOT_SUPPORTED,DISTORTED,"The claim states that Sir William Maule succeeded his mother, which is incorrect. He succeeded as Baron based on his father's death, not his mother's.","Sir William Maule was the eldest son of Sir Peter Maule and Christina de Valognes, Baron and Baroness of Panmure and Benvie. William succeeded as Baron in 1254 on his father's death."
2hop__14092_8311,content,elaborate,0,1,John was King of England.,NOT_SUPPORTED,INVENTED,"The claim that 'John' was King of England is not supported by the text. The text describes various individuals and their lineages, but it does not state that any 'John' was a king.",none
2hop__14092_8311,content,elaborate,0,1,John married several times.,NOT_SUPPORTED,DISTORTED,"The ground truth states that John married several times, but it doesn't detail *which* wives he married or the specifics of those marriages. The claim simply asserts he ‘married several times’ which is a generalization based on the information provided, but it’s not a specific fact from the text.",none
2hop__14092_8311,content,elaborate,0,1,"John's first wife was Isabel, Countess of Gloucester.",NOT_SUPPORTED,DISTORTED,"The claim states 'John's first wife was Isabel, Countess of Gloucester.' While the ground truth mentions John's first wife was Isabel, Countess of Gloucester, it does not state that this was his *first* wife. The text describes Isabel remarried twice.","John's first wife, Isabel, Countess of Gloucester, was released from imprisonment in 1214; she remarried twice, and died in 1217."
2hop__14092_8311,content,elaborate,0,1,John had a second wife named Isabella of Angoulême.,NOT_SUPPORTED,DISTORTED,"The ground truth states that John had two wives, Isabel and Isabella. The claim states he had a 'second wife named Isabella of Angoulême,' implying a new wife, which is not explicitly stated and could be a misunderstanding of the information about his first wife.",mention of Isabel and Isabella as wives
2hop__14092_8311,content,elaborate,0,1,John's eldest son was Henry III.,NOT_SUPPORTED,INVENTED,"The claim states that John's eldest son was Henry III, but the ground truth does not mention John or Henry III. It describes John as a king with multiple children, including Henry and Richard.",none
2hop__14092_8311,content,elaborate,0,1,John's son Richard became a prominent European leader.,NOT_SUPPORTED,INVENTED,"The claim states that ‘John’s son Richard became a prominent European leader.’ While John is mentioned as having sons, the ground truth does not provide any information about Richard becoming a leader. It only mentions Richard and Oliver as illegitimate sons.",none
2hop__14092_8311,content,elaborate,0,1,John's daughter Joan married Alexander II of Scotland.,NOT_SUPPORTED,DISTORTED,"The ground truth states that John's daughter Joan married Alexander II of Scotland. This claim states that John's daughter Joan married Alexander II of Scotland, which is a direct restatement of the provided information. However, the ground truth does not explicitly state that John was a king, only that he was a king's second son.",John's daughter Joan married Alexander II of Scotland
2hop__14092_8311,content,elaborate,0,1,John's daughter Isabella married the Holy Roman Emperor Frederick II.,NOT_SUPPORTED,DISTORTED,"The ground truth states that John's second wife, Isabella of Angoulême, left England. It does not state that she married the Holy Roman Emperor Frederick II. This is a change of relationship and factual meaning.","John's second wife, Isabella of Angoulême, left England for Angoulême"
2hop__14092_8311,content,elaborate,0,1,Eric Penn continued his father's involvement in cricketer circles.,NOT_SUPPORTED,DISTORTED,"The claim states Eric Penn 'continued his father's involvement in cricketer circles,' which is not explicitly stated in the ground truth. While Eric Penn was educated at Eton and Cambridge, and his father was a cricketer, the claim implies a direct continuation of his father's cricket activities, which isn't detailed in the text.",mention of Eric Penn's education and father's profession
2hop__14092_8311,content,elaborate,0,1,These prominent families were involved in trade.,NOT_SUPPORTED,DISTORTED,"While the text mentions families involved in various activities, it doesn't explicitly state that 'these prominent families were involved in trade.' It describes their lineage, occupations (e.g., potter, cricketer, scholar), and family relationships, but doesn't detail their commercial activities.",none
2hop__14092_8311,content,elaborate,0,1,These prominent families were involved in industry.,NOT_SUPPORTED,SUPPORTED,"Several families mentioned in the text (Calverleys, Maule, Kemble, Wedgwood) were involved in various industries – William Calverley was a landowner, Sir William Maule was a Baron, John Mitchell Kemble was a scholar and historian, and John Wedgwood was a potter. The text describes their activities and roles within these industries.","Walter Calverley. Walter Calverley was the eldest son and heir of William Calverley (d.1572) by his wife, Katherine Thorneholme, daughter of John Thorneholme of Haysthorpe, Yorkshire. William Calverley was the son of Sir Walter Calverley and Anne Danby, daughter of Sir Christopher Danby (d. 14 June 1571) and Elizabeth Neville, daughter of Richard Neville, 2nd Baron Latimer."
2hop__14092_8311,content,elaborate,0,1,Zhao Yingqi became king.,NOT_SUPPORTED,INVENTED,"The claim that Zhao Yingqi ‘became king’ is not directly stated in the ground truth. It states he was passed over for kingship, but doesn't say he ascended to the throne.",none
