qid,group,instruction_type,run,step,fact,label,raw
2hop__635544_110949,content,elaborate,0,1,"Shirley Abicair was born in Melbourne, Victoria.",SUPPORTED,True
2hop__635544_110949,content,elaborate,0,1,Shirley Abicair was born in 1935.,NOT_SUPPORTED,False
2hop__635544_110949,content,elaborate,0,1,Shirley Abicair is an Australian native.,SUPPORTED,True
2hop__635544_110949,content,elaborate,0,1,She was 23 or 24 upon her arrival in Britain.,SUPPORTED,True
2hop__635544_110949,content,elaborate,0,1,She completed her tertiary studies in Australia.,SUPPORTED,True
2hop__635544_110949,content,elaborate,0,1,She arrived in Britain after completing her tertiary studies in Australia.,SUPPORTED,True
2hop__635544_110949,content,elaborate,0,1,She was the sole daughter of a distinguished Wing Commander in the Royal Australian Air Force (RAAF).,SUPPORTED,True
2hop__635544_110949,content,elaborate,0,1,The Anno Domini era is a method of identifying years.,SUPPORTED,True
2hop__635544_110949,content,elaborate,0,1,The Anno Domini era is also known as the Common Era.,SUPPORTED,True
2hop__635544_110949,content,elaborate,0,1,The Anno Domini era is based on the traditionally calculated year of Jesus Christ's birth.,SUPPORTED,True
2hop__635544_110949,content,elaborate,0,1,This dating system marks years as AD.,SUPPORTED,True
2hop__635544_110949,content,elaborate,0,1,This dating system marks years as BC.,SUPPORTED,True
2hop__635544_110949,content,elaborate,0,1,This dating system does not include a year zero.,SUPPORTED,True
2hop__635544_110949,content,elaborate,0,1,This dating system marks years as Anno Domini.,SUPPORTED,True
2hop__635544_110949,content,elaborate,0,1,This dating system marks years as Before Christ.,SUPPORTED,True
2hop__635544_110949,content,elaborate,0,1,It was devised in 525 by Dionysius Exiguus.,SUPPORTED,True
2hop__635544_110949,content,elaborate,0,1,It did not come into widespread use until after 800.,SUPPORTED,True
2hop__635544_110949,content,elaborate,0,1,"Švitrigaila was born to Algirdas, Grand Duke of Lithuania, and his second wife Uliana of Tver.",SUPPORTED,True
2hop__635544_110949,content,elaborate,0,1,Švitrigaila was an important figure in the politics of the time.,SUPPORTED,True
2hop__635544_110949,content,elaborate,0,1,He was likely the youngest or second youngest son of Algirdas.,SUPPORTED,True
2hop__635544_110949,content,elaborate,0,1,"He appeared in politics on October 13, 1382.",NOT_SUPPORTED,False
2hop__635544_110949,content,elaborate,0,1,He was a witness to the Treaty of Dubysa.,SUPPORTED,True
2hop__635544_110949,content,elaborate,0,1,He was a witness to the Treaty of Dubysa between his elder brother Jogaila and the Teutonic Knights.,SUPPORTED,True
2hop__635544_110949,content,elaborate,0,1,He was at least 12 years old at the time.,SUPPORTED,True
2hop__635544_110949,content,elaborate,0,1,His birth was before 1370.,SUPPORTED,True
2hop__635544_110949,content,elaborate,0,1,Švitrigaila submitted a complaint to the Council of Florence.,SUPPORTED,True
2hop__635544_110949,content,elaborate,0,1,Švitrigaila claimed that he and Jogaila were favored sons of Algirdas.,SUPPORTED,True
2hop__635544_110949,content,elaborate,0,1,Algirdas designated Jogaila as his heir.,SUPPORTED,True
2hop__635544_110949,content,elaborate,0,1,Algirdas made Jogaila swear to make Švitrigaila his successor.,SUPPORTED,True
2hop__635544_110949,content,elaborate,0,1,Jogaila was Algirdas' heir.,SUPPORTED,True
2hop__635544_110949,content,elaborate,0,1,Jogaila's representatives did not deny this arrangement outright.,SUPPORTED,True
