qid,question,group,instruction_type,run,instruction_used,step,text,n_tokens
2hop__635544_110949,What is the date of birth of the person who was part of Ratata?,style,formality,0,,0,"Ratata (band). Ratata was a Swedish pop group fronted by Swedish vocalist Mauro Scocco formed in 1980. It functioned as a 4-piece band until 1983, when it was disbanded. But Johan Ekelund having played with the band briefly continued to cooperate with Scocco continuing as a duo until 1989. The duo had a brief comeback in 2002.

Mauro Scocco. Mauro Scocco (born 11 September 1962) is a Swedish pop artist of Italian descent. He has been described as ""one of the sharpest songwriters in Sweden"". Scocco was the singer for the pop group Ratata (1980–83) transformed into a duo with Johan Ekelund (1983–89). After Ratata, Scocco has continued as a solo artist since. In 2014, he cooperated with Plura Jonsson releasing a joint album as ""Mauro & Plura"".",202
2hop__635544_110949,What is the date of birth of the person who was part of Ratata?,style,formality,0,Make the text more formal.,1,"Ratata, a Swedish pop group, was founded in 1980 and led by the Swedish vocalist Mauro Scocco. Initially a four-piece band, Ratata disbanded in 1983. However, Johan Ekelund, who had briefly played with the group, continued to collaborate with Scocco, transforming the ensemble into a duo until their dissolution in 1989. The duo experienced a brief reunion in 2002.

Mauro Scocco, born on 11 September 1962, is a Swedish pop artist of Italian descent. He is renowned as one of Sweden's most incisive songwriters. Following the disbandment of Ratata, Scocco embarked on a solo career. In 2014, he collaborated with Plura Jonsson, resulting in the release of a joint album under the moniker ""Mauro & Plura.""",178
2hop__635544_110949,What is the date of birth of the person who was part of Ratata?,style,formality,0,Make the text more formal.,2,"Ratata, a Swedish pop ensemble, was established in 1980 under the leadership of Swedish vocalist Mauro Scocco. Initially comprising four members, the group disbanded in 1983. Subsequently, Johan Ekelund, who had briefly been a member, continued his collaboration with Scocco, reconfiguring the ensemble into a duo until their dissolution in 1989. The duo experienced a brief reformation in 2002.

Mauro Scocco, born on 11 September 1962, is a Swedish pop artist of Italian descent, celebrated for his incisive songwriting abilities. Following the disbandment of Ratata, he embarked on a solo career. In 2014, he collaborated with Plura Jonsson, culminating in the release of a joint album under the moniker ""Mauro & Plura.""",174
2hop__635544_110949,What is the date of birth of the person who was part of Ratata?,style,formality,0,Make the text more formal.,3,"Ratata, a Swedish pop ensemble, was founded in 1980 under the leadership of Swedish vocalist Mauro Scocco. Initially composed of four members, the group disbanded in 1983. Subsequently, Johan Ekelund, who had briefly been a member, continued his collaboration with Scocco, reconfiguring the ensemble into a duo until their dissolution in 1989. The duo experienced a brief reformation in 2002.

Mauro Scocco, born on 11 September 1962, is a Swedish pop artist of Italian descent, renowned for his incisive songwriting skills. Following the disbandment of Ratata, he embarked on a solo career. In 2014, he collaborated with Plura Jonsson, resulting in the release of a joint album under the moniker ""Mauro & Plura.""",174
2hop__635544_110949,What is the date of birth of the person who was part of Ratata?,style,formality,1,,0,"Ratata (band). Ratata was a Swedish pop group fronted by Swedish vocalist Mauro Scocco formed in 1980. It functioned as a 4-piece band until 1983, when it was disbanded. But Johan Ekelund having played with the band briefly continued to cooperate with Scocco continuing as a duo until 1989. The duo had a brief comeback in 2002.

Mauro Scocco. Mauro Scocco (born 11 September 1962) is a Swedish pop artist of Italian descent. He has been described as ""one of the sharpest songwriters in Sweden"". Scocco was the singer for the pop group Ratata (1980–83) transformed into a duo with Johan Ekelund (1983–89). After Ratata, Scocco has continued as a solo artist since. In 2014, he cooperated with Plura Jonsson releasing a joint album as ""Mauro & Plura"".",202
2hop__635544_110949,What is the date of birth of the person who was part of Ratata?,style,formality,1,Rephrase it to be more formal.,1,"Ratata, a Swedish pop group, was founded in 1980 with Mauro Scocco as its Swedish vocalist. The group initially operated as a four-member ensemble until its dissolution in 1983. Subsequently, Johan Ekelund, who had briefly performed with the band, continued his collaboration with Scocco, transitioning the act into a duo format that persisted until 1989. The duo experienced a brief resurgence in 2002.

Mauro Scocco, born on 11 September 1962, is a Swedish pop artist of Italian descent, often regarded as one of Sweden's most astute songwriters. Scocco served as the vocalist for the pop group Ratata from 1980 to 1983, after which he and Johan Ekelund formed a duo that lasted until 1989. Following the disbandment of Ratata, Scocco pursued a solo career. In 2014, he collaborated with Plura Jonsson, resulting in the release of a joint album under the name ""Mauro & Plura.""",215
2hop__635544_110949,What is the date of birth of the person who was part of Ratata?,style,formality,1,Rephrase it to be more formal.,2,"Ratata, a Swedish pop ensemble, was established in 1980 with Mauro Scocco as its Swedish vocalist. Initially comprising four members, the group ceased operations in 1983. Subsequently, Johan Ekelund, who had briefly been a member, continued his collaboration with Scocco, transforming the act into a duo format which endured until 1989. The duo experienced a brief revival in 2002.

Mauro Scocco, born on 11 September 1962, is a Swedish pop artist of Italian descent, often recognized as one of Sweden's most skilled songwriters. Scocco served as the vocalist for the pop ensemble Ratata from 1980 to 1983, after which he and Johan Ekelund formed a duo that lasted until 1989. Following the dissolution of Ratata, Scocco pursued a solo career. In 2014, he collaborated with Plura Jonsson, resulting in the release of a joint album under the name ""Mauro & Plura.""",207
2hop__635544_110949,What is the date of birth of the person who was part of Ratata?,style,formality,1,Rephrase it to be more formal.,3,"Ratata, a Swedish pop ensemble, was founded in 1980 with Mauro Scocco serving as its Swedish vocalist. Initially comprising four members, the group ceased operations in 1983. Following this, Johan Ekelund, who had briefly been a member, continued his collaboration with Mauro Scocco, transforming the act into a duo format which endured until 1989. The duo experienced a brief revival in 2002.

Mauro Scocco, born on 11 September 1962, is a Swedish pop artist of Italian descent, often recognized as one of Sweden's most skilled songwriters. Mr. Scocco served as the vocalist for the pop ensemble Ratata from 1980 to 1983. Subsequently, he and Mr. Ekelund formed a duo that lasted until 1989. Following the dissolution of Ratata, Mr. Scocco pursued a solo career. In 2014, he collaborated with Plura Jonsson, resulting in the release of a joint album under the name ""Mauro & Plura.""",216
2hop__635544_110949,What is the date of birth of the person who was part of Ratata?,style,formality,2,,0,"Ratata (band). Ratata was a Swedish pop group fronted by Swedish vocalist Mauro Scocco formed in 1980. It functioned as a 4-piece band until 1983, when it was disbanded. But Johan Ekelund having played with the band briefly continued to cooperate with Scocco continuing as a duo until 1989. The duo had a brief comeback in 2002.

Mauro Scocco. Mauro Scocco (born 11 September 1962) is a Swedish pop artist of Italian descent. He has been described as ""one of the sharpest songwriters in Sweden"". Scocco was the singer for the pop group Ratata (1980–83) transformed into a duo with Johan Ekelund (1983–89). After Ratata, Scocco has continued as a solo artist since. In 2014, he cooperated with Plura Jonsson releasing a joint album as ""Mauro & Plura"".",202
2hop__635544_110949,What is the date of birth of the person who was part of Ratata?,style,formality,2,"Too conversational, rephrase it to be more formal.",1,"Ratata was a Swedish pop group, featuring vocalist Mauro Scocco, which was established in 1980 and initially comprised four members. The group disbanded in 1983. Following this dissolution, Johan Ekelund, who had briefly been a member, continued his collaboration with Scocco as a duo until 1989. The duo reformed briefly in 2002.

Mauro Scocco, born on 11 September 1962, is a Swedish pop artist of Italian ancestry, recognized as one of Sweden's most distinguished songwriters. He was the lead vocalist for the pop group Ratata from 1980 to 1983, which subsequently evolved into a duo with Johan Ekelund until 1989. Following Ratata, Scocco pursued a solo career. In 2014, he collaborated with Plura Jonsson, releasing a joint album under the title ""Mauro & Plura.""",188
2hop__635544_110949,What is the date of birth of the person who was part of Ratata?,style,formality,2,"Too conversational, rephrase it to be more formal.",2,"Ratata was a Swedish pop group, initially formed in 1980 with a lineup of four members, including vocalist Mauro Scocco. The group disbanded in 1983. Subsequently, Johan Ekelund, who had been a member, continued his musical collaboration with Scocco as a duo until 1989. The duo briefly reunited in 2002.

Mauro Scocco, born on September 11, 1962, is a Swedish pop artist of Italian heritage, renowned as one of Sweden's most esteemed songwriters. He was the lead vocalist for Ratata from 1980 to 1983. Following the dissolution of Ratata, Scocco and Johan Ekelund performed as a duo until 1989. Scocco embarked on a solo career thereafter. In 2014, he collaborated with Plura Jonsson, resulting in the release of a joint album titled ""Mauro & Plura.""",191
2hop__635544_110949,What is the date of birth of the person who was part of Ratata?,style,formality,2,"Too conversational, rephrase it to be more formal.",3,"Ratata, a Swedish pop group, was founded in 1980 with an initial lineup consisting of four members, among whom was vocalist Mauro Scocco. The group disbanded in 1983. Following this, Johan Ekelund, a former member, continued his musical endeavors with Mauro Scocco as a duo until 1989. The duo briefly reformed in 2002.

Mauro Scocco, born on September 11, 1962, is a Swedish pop artist of Italian descent, widely recognized as one of Sweden's most esteemed songwriters. He served as the lead vocalist for Ratata from 1980 to 1983. After Ratata's disbandment, Scocco and Johan Ekelund performed as a duo until 1989. Subsequently, Scocco pursued a solo career. In 2014, Scocco collaborated with Plura Jonsson, resulting in the release of a joint album titled ""Mauro & Plura.""",201
2hop__635544_110949,What is the date of birth of the person who was part of Ratata?,style,paraphrase,0,,0,"Ratata (band). Ratata was a Swedish pop group fronted by Swedish vocalist Mauro Scocco formed in 1980. It functioned as a 4-piece band until 1983, when it was disbanded. But Johan Ekelund having played with the band briefly continued to cooperate with Scocco continuing as a duo until 1989. The duo had a brief comeback in 2002.

Mauro Scocco. Mauro Scocco (born 11 September 1962) is a Swedish pop artist of Italian descent. He has been described as ""one of the sharpest songwriters in Sweden"". Scocco was the singer for the pop group Ratata (1980–83) transformed into a duo with Johan Ekelund (1983–89). After Ratata, Scocco has continued as a solo artist since. In 2014, he cooperated with Plura Jonsson releasing a joint album as ""Mauro & Plura"".",202
2hop__635544_110949,What is the date of birth of the person who was part of Ratata?,style,paraphrase,0,Paraphrase this.,1,"Ratata was a Swedish pop group that was led by Swedish vocalist Mauro Scocco and was active from 1980 to 1983. Initially a quartet, the band broke up in 1983, but guitarist Johan Ekelund continued to work with Scocco, transforming the group into a duo until 1989. They briefly reunited in 2002. Mauro Scocco, born on September 11, 1962, is a Swedish singer-songwriter of Italian origin, known for his sharp songwriting skills. Scocco fronted Ratata and later collaborated with Ekelund as a duo. After Ratata disbanded, Scocco pursued a solo career. In 2014, he worked with Plura Jonsson, releasing a collaborative album titled ""Mauro & Plura.""",165
2hop__635544_110949,What is the date of birth of the person who was part of Ratata?,style,paraphrase,0,Paraphrase this.,2,"Ratata was a Swedish pop act that was fronted by vocalist Mauro Scocco from 1980 to 1983. Initially a four-member band, Ratata dissolved in 1983, with guitarist Johan Ekelund continuing his musical partnership with Scocco, transforming Ratata into a duo until 1989. The duo briefly reformed in 2002. Mauro Scocco, born on September 11, 1962, is a Swedish singer-songwriter of Italian descent, known for his sharp and insightful songwriting. After Ratata's breakup, Scocco pursued a solo career. In 2014, he collaborated with Plura Jonsson, releasing a joint album titled ""Mauro & Plura.""",150
2hop__635544_110949,What is the date of birth of the person who was part of Ratata?,style,paraphrase,0,Paraphrase this.,3,"Ratata, a Swedish pop group, was led by singer Mauro Scocco from 1980 to 1983. Originally a quartet, the band disbanded in 1983. Guitarist Johan Ekelund and Scocco then continued as a duo, performing as Ratata until 1989. They briefly reunited in 2002. Born on September 11, 1962, Mauro Scocco is a Swedish songwriter and singer of Italian heritage, renowned for his perceptive lyrics. Following the split of Ratata, Scocco went solo. In 2014, he teamed up with Plura Jonsson to release the album ""Mauro & Plura.""",139
2hop__635544_110949,What is the date of birth of the person who was part of Ratata?,style,paraphrase,1,,0,"Ratata (band). Ratata was a Swedish pop group fronted by Swedish vocalist Mauro Scocco formed in 1980. It functioned as a 4-piece band until 1983, when it was disbanded. But Johan Ekelund having played with the band briefly continued to cooperate with Scocco continuing as a duo until 1989. The duo had a brief comeback in 2002.

Mauro Scocco. Mauro Scocco (born 11 September 1962) is a Swedish pop artist of Italian descent. He has been described as ""one of the sharpest songwriters in Sweden"". Scocco was the singer for the pop group Ratata (1980–83) transformed into a duo with Johan Ekelund (1983–89). After Ratata, Scocco has continued as a solo artist since. In 2014, he cooperated with Plura Jonsson releasing a joint album as ""Mauro & Plura"".",202
2hop__635544_110949,What is the date of birth of the person who was part of Ratata?,style,paraphrase,1,Reword this text.,1,"Ratata, a Swedish pop group, was formed in 1980 with Mauro Scocco as its lead vocalist. Initially a four-member band, Ratata disbanded in 1983, though guitarist Johan Ekelund stayed with Scocco to form a duo which lasted until 1989. The duo briefly reformed in 2002. Mauro Scocco, born on September 11, 1962, is a renowned Swedish pop artist of Italian ancestry, celebrated as one of Sweden's most talented songwriters. He originally performed with Ratata, transitioning into a duo with Johan Ekelund post-1983. Scocco has maintained a solo career since Ratata's disbandment and, in 2014, collaborated with Plura Jonsson to release an album under the moniker ""Mauro & Plura.""",171
