qid,group,instruction_type,run,step,fact,original_label,label,reason,evidence_match
2hop__14092_8311,content,elaborate,0,1,William Calverley was the son of Sir Walter Calverley and Anne Danby.,NOT_SUPPORTED,SUPPORTED,The claim that William Calverley was the son of Sir Walter Calverley and Anne Danby is explicitly stated in the ground truth.,William Calverley was the son of Sir Walter Calverley and Anne Danby
2hop__14092_8311,content,elaborate,0,1,"Anne Danby was the granddaughter of Richard Neville, 2nd Baron Latimer.",NOT_SUPPORTED,DISTORTED,"The claim states that Anne Danby is the granddaughter of Richard Neville, 2nd Baron Latimer, but the ground truth indicates that Anne Danby is the daughter of Sir Christopher Danby, not a granddaughter of Richard Neville.","William Calverley was the son of Sir Walter Calverley and Anne Danby, daughter of Sir Christopher Danby (d. 14 June 1571) and Elizabeth Neville, daughter of Richard Neville, 2nd Baron Latimer."
2hop__14092_8311,content,elaborate,0,1,"Sir William Maule succeeded his mother, Christina de Valognes, Baroness and Baron of Panmure and Benvie.",NOT_SUPPORTED,DISTORTED,"The claim states that Sir William Maule succeeded his mother, which is incorrect; he succeeded his father, Sir Peter Maule.",William succeeded as Baron in 1254 on his father's death.
2hop__14092_8311,content,elaborate,0,1,John was King of England.,NOT_SUPPORTED,SUPPORTED,"The claim that John was King of England is supported by the ground truth, which states that John had five legitimate children and mentions his role as King.","John, King of England"
2hop__14092_8311,content,elaborate,0,1,John married several times.,NOT_SUPPORTED,SUPPORTED,"John's first wife, Isabel, Countess of Gloucester, remarried twice, indicating that John married several times.","John's first wife, Isabel, remarried twice"
2hop__14092_8311,content,elaborate,0,1,"John's first wife was Isabel, Countess of Gloucester.",NOT_SUPPORTED,SUPPORTED,"The claim that John's first wife was Isabel, Countess of Gloucester is explicitly stated in the ground truth.","John's first wife, Isabel, Countess of Gloucester, was released from imprisonment in 1214."
2hop__14092_8311,content,elaborate,0,1,John had a second wife named Isabella of Angoulême.,NOT_SUPPORTED,SUPPORTED,"The claim that John had a second wife named Isabella of Angoulême is supported by the ground truth, which states that John's second wife was indeed Isabella of Angoulême.","John's second wife, Isabella of Angoulême, left England for Angoulême soon after the king's death."
2hop__14092_8311,content,elaborate,0,1,John's eldest son was Henry III.,NOT_SUPPORTED,SUPPORTED,"The claim that John's eldest son was Henry III is directly supported by the ground truth, which states that John's eldest son, Henry III, ruled as king.","John had five legitimate children, all by Isabella. His eldest son, Henry III, ruled as king for the majority of the 13th century."
2hop__14092_8311,content,elaborate,0,1,John's son Richard became a prominent European leader.,NOT_SUPPORTED,SUPPORTED,"The claim that John's son Richard became a prominent European leader is supported by the ground truth, which states that Richard became a noted European leader.","John had five legitimate children, all by Isabella. Richard became a noted European leader."
2hop__14092_8311,content,elaborate,0,1,John's daughter Joan married Alexander II of Scotland.,NOT_SUPPORTED,SUPPORTED,The claim that John's daughter Joan married Alexander II of Scotland is explicitly stated in the ground truth.,"John had a number of illegitimate children... Of these, Joan became the most famous, marrying Prince Llywelyn the Great of Wales."
2hop__14092_8311,content,elaborate,0,1,John's daughter Isabella married the Holy Roman Emperor Frederick II.,NOT_SUPPORTED,SUPPORTED,The claim that John's daughter Isabella married the Holy Roman Emperor Frederick II is explicitly stated in the ground truth.,Isabella married the Holy Roman Emperor Frederick II.
2hop__14092_8311,content,elaborate,0,1,Eric Penn continued his father's involvement in cricketer circles.,NOT_SUPPORTED,INVENTED,"The claim about Eric Penn's involvement in cricketer circles is not mentioned in the ground truth, which only states his relationship to his father and his education.",none
2hop__14092_8311,content,elaborate,0,1,These prominent families were involved in trade.,NOT_SUPPORTED,UNVERIFIABLE,"The claim about prominent families being involved in trade is not explicitly supported or contradicted by the ground truth, which focuses on lineage and relationships rather than trade activities.",none
