qid,question,gold_answer,gold_answer_aliases,group,instruction_type,run,instruction_used,step,text,n_tokens
./cnn/stories/42d01e187213e86f5fe617fe32e716ff7fa3afc4.story,The court aquitted Moninder Singh Pandher of what crime?,rape and murder,rape and murder,style,formality,0,,0,"NEW DELHI, India (CNN) -- A high court in northern India on Friday acquitted a wealthy businessman facing the death sentence for the killing of a teen in a case dubbed ""the house of horrors.""



Moninder Singh Pandher was sentenced to death by a lower court in February.



The teen was one of 19 victims -- children and young women -- in one of the most gruesome serial killings in India in recent years.



The Allahabad high court has acquitted Moninder Singh Pandher, his lawyer Sikandar B. Kochar told CNN.



Pandher and his domestic employee Surinder Koli were sentenced to death in February by a lower court for the rape and murder of the 14-year-old.



The high court upheld Koli's death sentence, Kochar said.



The two were arrested two years ago after body parts packed in plastic bags were found near their home in Noida, a New Delhi suburb. Their home was later dubbed a ""house of horrors"" by the Indian media.



Pandher was not named a main suspect by investigators initially, but was summoned as co-accused during the trial, Kochar said.



Kochar said his client was in Australia when the teen was raped and killed.



Pandher faces trial in the remaining 18 killings and could remain in custody, the attorney said.",269
./cnn/stories/42d01e187213e86f5fe617fe32e716ff7fa3afc4.story,The court aquitted Moninder Singh Pandher of what crime?,rape and murder,rape and murder,style,formality,0,Make the text more formal.,1,"NEW DELHI, India (CNN) -- The Allahabad High Court on Friday acquitted Moninder Singh Pandher in a high-profile case involving the death of a teenager, which has been referred to as ""the house of horrors."" Pandher's domestic employee, Surinder Koli, however, had his death sentence confirmed by the High Court, according to Pandher's attorney, Sikandar B. Kochar.

This case is regarded as one of the most gruesome instances of serial killing in recent years in India. Initially, Pandher was not considered a primary suspect by investigators. Nevertheless, he was subsequently charged as a co-accused during the proceedings. According to Kochar, Pandher was in Australia at the time the teenager was allegedly raped and killed.

Pandher is scheduled to stand trial in connection with the remaining 18 alleged murders and may continue to be held in custody pending further judicial processes.",184
./cnn/stories/42d01e187213e86f5fe617fe32e716ff7fa3afc4.story,The court aquitted Moninder Singh Pandher of what crime?,rape and murder,rape and murder,style,formality,0,Make the text more formal.,2,"NEW DELHI, India (CNN) -- The Allahabad High Court on Friday delivered a verdict acquitting Moninder Singh Pandher in the high-profile case commonly referred to as the ""house of horrors."" However, the court upheld the death sentence of his domestic employee, Surinder Koli, as confirmed by Pandher's legal counsel, Sikandar B. Kochar.

This case is recognized as one of the most gruesome instances of serial killing in recent years within India. Initially, Pandher was not regarded as a principal suspect by the investigating authorities. Nonetheless, he was subsequently included as a co-accused in the judicial proceedings. According to Kochar, Pandher was in Australia at the time the teenager was allegedly raped and murdered.

Pandher is now set to face trial in relation to the remaining 18 alleged murders and may continue to be detained while further legal processes are underway.",181
./cnn/stories/42d01e187213e86f5fe617fe32e716ff7fa3afc4.story,The court aquitted Moninder Singh Pandher of what crime?,rape and murder,rape and murder,style,formality,0,Make the text more formal.,3,"NEW DELHI, India (CNN) -- The Allahabad High Court, on Friday, delivered a verdict acquitting Moninder Singh Pandher in the notorious case referred to as the ""house of horrors."" Nevertheless, the death sentence previously imposed on his domestic employee, Surinder Koli, was maintained, as confirmed by Pandher's legal counsel, Sikandar B. Kochar.

This case is acknowledged as one of the most gruesome episodes of serial killing in recent Indian history. At the outset of the investigation, Pandher was not considered a primary suspect. However, he was later included as a co-accused in the ensuing judicial proceedings. As stated by Kochar, Pandher was in Australia at the time when a teenager was allegedly raped and murdered.

Subsequently, Pandher is scheduled to stand trial concerning the remaining 18 alleged murders and may continue to be held in custody pending further legal proceedings.",184
./cnn/stories/42d01e187213e86f5fe617fe32e716ff7fa3afc4.story,The court aquitted Moninder Singh Pandher of what crime?,rape and murder,rape and murder,style,formality,1,,0,"NEW DELHI, India (CNN) -- A high court in northern India on Friday acquitted a wealthy businessman facing the death sentence for the killing of a teen in a case dubbed ""the house of horrors.""



Moninder Singh Pandher was sentenced to death by a lower court in February.



The teen was one of 19 victims -- children and young women -- in one of the most gruesome serial killings in India in recent years.



The Allahabad high court has acquitted Moninder Singh Pandher, his lawyer Sikandar B. Kochar told CNN.



Pandher and his domestic employee Surinder Koli were sentenced to death in February by a lower court for the rape and murder of the 14-year-old.



The high court upheld Koli's death sentence, Kochar said.



The two were arrested two years ago after body parts packed in plastic bags were found near their home in Noida, a New Delhi suburb. Their home was later dubbed a ""house of horrors"" by the Indian media.



Pandher was not named a main suspect by investigators initially, but was summoned as co-accused during the trial, Kochar said.



Kochar said his client was in Australia when the teen was raped and killed.



Pandher faces trial in the remaining 18 killings and could remain in custody, the attorney said.",269
./cnn/stories/42d01e187213e86f5fe617fe32e716ff7fa3afc4.story,The court aquitted Moninder Singh Pandher of what crime?,rape and murder,rape and murder,style,formality,1,Rephrase it to be more formal.,1,"NEW DELHI, India (CNN) -- The Allahabad High Court on Friday acquitted Moninder Singh Pandher, a prominent businessman, in a case referred to as ""the house of horrors."" However, the court upheld the death sentence of his domestic employee, Surinder Koli, in connection with the rape and murder of a 14-year-old victim.

Pandher and Koli had previously been sentenced to death by a lower court in February in relation to this crime.

The case involved one of the most gruesome instances of serial killing in recent years in India, with a total of 19 victims, all of whom were children or young women.

Following the discovery of body parts encased in plastic bags near the defendants' residence in Noida, a suburb of New Delhi, the property was described by the Indian media as a ""house of horrors."" Initially, Pandher was not considered a primary suspect by investigators; he was later included as a co-accused during the proceedings.

According to his attorney, Sikandar B. Kochar, Pandher was in Australia at the time the teenager was killed. Pandher is still subject to trial regarding the remaining 18 killings and may continue to be held in custody pending further judicial proceedings.",252
./cnn/stories/42d01e187213e86f5fe617fe32e716ff7fa3afc4.story,The court aquitted Moninder Singh Pandher of what crime?,rape and murder,rape and murder,style,formality,1,Rephrase it to be more formal.,2,"NEW DELHI, India (CNN) — The Allahabad High Court on Friday acquitted Moninder Singh Pandher, a prominent businessman, in a case commonly referred to as the ""house of horrors."" Nevertheless, the court upheld the death sentence of his domestic employee, Surinder Koli, in connection with the rape and murder of a 14-year-old victim.

Previously, both Pandher and Koli had been sentenced to death by a lower court in February in relation to this offense.

The case pertains to one of the most egregious instances of serial killings in recent years in India, involving a total of 19 victims, all of whom were minors or young women.

Subsequent to the discovery of dismembered bodies encased in plastic bags in close proximity to the defendants' residence in Noida, a suburb of New Delhi, the property was characterized by the Indian media as a ""house of horrors."" At the outset, Pandher was not regarded by investigators as a principal suspect; however, he was subsequently included as a co-accused during the judicial proceedings.

According to his legal counsel, Sikandar B. Kochar, Pandher was in Australia at the time of the teenager’s death. He remains subject to trial in connection with the other 18 killings and may continue to be detained pending further judicial processes.",269
./cnn/stories/42d01e187213e86f5fe617fe32e716ff7fa3afc4.story,The court aquitted Moninder Singh Pandher of what crime?,rape and murder,rape and murder,style,formality,1,Rephrase it to be more formal.,3,"NEW DELHI, India (CNN) — The Allahabad High Court on Friday acquitted Moninder Singh Pandher, a prominent businessman, in a matter commonly known as the ""house of horrors"" case. Nonetheless, the court affirmed the death sentence of his domestic employee, Surinder Koli, in relation to the rape and murder of a 14-year-old victim.

Earlier, both Pandher and Koli had received death sentences from a lower court in February concerning this particular crime.

This case relates to one of the most egregious instances of serial killings in recent years in India, with 19 victims, all of whom were minors or young women.

Following the discovery of dismembered bodies encased in plastic near the defendants' residence in Noida, a suburb of New Delhi, the property was described by the Indian media as a ""house of horrors."" Initially, Pandher was not considered a primary suspect by investigators; however, he was subsequently charged as a co-accused in the ensuing judicial proceedings.

As stated by his legal representative, Sikandar B. Kochar, Pandher was in Australia at the time of the teenager’s death. He is still subject to trial regarding the other 18 murders and may remain in custody pending further judicial determinations.",256
./cnn/stories/42d01e187213e86f5fe617fe32e716ff7fa3afc4.story,The court aquitted Moninder Singh Pandher of what crime?,rape and murder,rape and murder,style,formality,2,,0,"NEW DELHI, India (CNN) -- A high court in northern India on Friday acquitted a wealthy businessman facing the death sentence for the killing of a teen in a case dubbed ""the house of horrors.""



Moninder Singh Pandher was sentenced to death by a lower court in February.



The teen was one of 19 victims -- children and young women -- in one of the most gruesome serial killings in India in recent years.



The Allahabad high court has acquitted Moninder Singh Pandher, his lawyer Sikandar B. Kochar told CNN.



Pandher and his domestic employee Surinder Koli were sentenced to death in February by a lower court for the rape and murder of the 14-year-old.



The high court upheld Koli's death sentence, Kochar said.



The two were arrested two years ago after body parts packed in plastic bags were found near their home in Noida, a New Delhi suburb. Their home was later dubbed a ""house of horrors"" by the Indian media.



Pandher was not named a main suspect by investigators initially, but was summoned as co-accused during the trial, Kochar said.



Kochar said his client was in Australia when the teen was raped and killed.



Pandher faces trial in the remaining 18 killings and could remain in custody, the attorney said.",269
./cnn/stories/42d01e187213e86f5fe617fe32e716ff7fa3afc4.story,The court aquitted Moninder Singh Pandher of what crime?,rape and murder,rape and murder,style,formality,2,"Too conversational, rephrase it to be more formal.",1,"NEW DELHI, India (CNN) -- The Allahabad High Court on Friday acquitted Moninder Singh Pandher, a prominent businessman, in a case involving the murder of a teenager that had been referred to as ""the house of horrors."" 

Pandher had previously been sentenced to death by a lower court in February. The case is among the most gruesome instances of serial killings in recent years in India, with 19 victims, including children and young women.

While Surinder Koli, Pandher's domestic employee, had his death sentence confirmed by the High Court, Pandher was acquitted of the charges related to the rape and murder of the 14-year-old victim, according to his lawyer, Sikandar B. Kochar.

Initially, Pandher was not considered a primary suspect by investigators. However, he was later included as a co-accused during the proceedings. Kochar stated that his client was in Australia at the time the teenager was killed.

Pandher still faces trial in connection with the remaining 18 murders and may continue to be held in custody pending further judicial processes.",222
./cnn/stories/42d01e187213e86f5fe617fe32e716ff7fa3afc4.story,The court aquitted Moninder Singh Pandher of what crime?,rape and murder,rape and murder,style,formality,2,"Too conversational, rephrase it to be more formal.",2,"NEW DELHI, India — The Allahabad High Court on Friday delivered a verdict acquitting Moninder Singh Pandher, a well-known businessman, in connection with the murder of a teenager that had been widely referred to as the ""house of horrors"" case. 

Earlier, a lower court had sentenced Pandher to death in February. The case represents one of the most disturbing episodes of serial killings in recent Indian history, with a total of 19 victims, including children and young women.

Although Surinder Koli, the domestic worker employed by Pandher, had his death sentence upheld by the High Court, Pandher was exonerated of the charges pertaining to the rape and murder of the 14-year-old victim, as indicated by his legal counsel, Sikandar B. Kochar.

At the outset of the investigation, Pandher was not regarded as a principal suspect. He was subsequently included as a co-accused in the proceedings. According to his lawyer, Pandher was in Australia at the time of the teenager's death.

Nonetheless, Pandher continues to face trial in relation to the remaining 18 counts of murder and may remain in custody pending further judicial proceedings.",239
./cnn/stories/42d01e187213e86f5fe617fe32e716ff7fa3afc4.story,The court aquitted Moninder Singh Pandher of what crime?,rape and murder,rape and murder,style,formality,2,"Too conversational, rephrase it to be more formal.",3,"NEW DELHI, India — The Allahabad High Court on Friday pronounced a verdict acquitting Moninder Singh Pandher, a prominent businessman, in connection with the murder of a minor that had been infamously associated with the ""house of horrors"" case. 

A lower court had previously sentenced Pandher to death in February. This case is recognized as one of the most egregious instances of serial killings in recent Indian history, involving a total of 19 victims, including children and young women.

Initially, Pandher was not considered a primary suspect in the investigation. However, he was later included as a co-accused. His legal representative, Sikandar B. Kochar, stated that Pandher was in Australia at the time of the victim's death.

Despite the acquittal on the specific charges related to the rape and murder of the 14-year-old victim, Pandher remains charged in connection with the other 18 counts of murder. He may continue to be held in custody while further legal proceedings are underway.",206
./cnn/stories/42d01e187213e86f5fe617fe32e716ff7fa3afc4.story,The court aquitted Moninder Singh Pandher of what crime?,rape and murder,rape and murder,style,paraphrase,0,,0,"NEW DELHI, India (CNN) -- A high court in northern India on Friday acquitted a wealthy businessman facing the death sentence for the killing of a teen in a case dubbed ""the house of horrors.""



Moninder Singh Pandher was sentenced to death by a lower court in February.



The teen was one of 19 victims -- children and young women -- in one of the most gruesome serial killings in India in recent years.



The Allahabad high court has acquitted Moninder Singh Pandher, his lawyer Sikandar B. Kochar told CNN.



Pandher and his domestic employee Surinder Koli were sentenced to death in February by a lower court for the rape and murder of the 14-year-old.



The high court upheld Koli's death sentence, Kochar said.



The two were arrested two years ago after body parts packed in plastic bags were found near their home in Noida, a New Delhi suburb. Their home was later dubbed a ""house of horrors"" by the Indian media.



Pandher was not named a main suspect by investigators initially, but was summoned as co-accused during the trial, Kochar said.



Kochar said his client was in Australia when the teen was raped and killed.



Pandher faces trial in the remaining 18 killings and could remain in custody, the attorney said.",269
./cnn/stories/42d01e187213e86f5fe617fe32e716ff7fa3afc4.story,The court aquitted Moninder Singh Pandher of what crime?,rape and murder,rape and murder,style,paraphrase,0,Paraphrase this.,1,"A high court in Allahabad cleared a wealthy businessman, Moninder Singh Pandher, of the death penalty on Friday in a case known as ""the house of horrors,"" though his domestic worker, Surinder Koli, will still face execution. Pandher had previously been given a death sentence by a lower court in February for the rape and murder of a 14-year-old girl, one of 19 victims in a series of shocking killings. Although Pandher was not initially considered a primary suspect and claimed to be in Australia at the time of the crime, he was later included as a co-accused. He continues to stand trial in connection with the other 18 murders and may remain in custody pending those proceedings.",145
./cnn/stories/42d01e187213e86f5fe617fe32e716ff7fa3afc4.story,The court aquitted Moninder Singh Pandher of what crime?,rape and murder,rape and murder,style,paraphrase,0,Paraphrase this.,2,"An Allahabad high court ruled on Friday that Moninder Singh Pandher, a wealthy businessman, would not face the death penalty in the ""house of horrors"" case. However, his domestic worker, Surinder Koli, is still set to be executed. Pandher had been sentenced to death by a lower court in February for the rape and murder of a 14-year-old girl, who was one of 19 victims in a series of gruesome killings. Initially not seen as a main suspect and having claimed he was in Australia when the crime occurred, Pandher was later added as a co-defendant. He is still awaiting trial on the other 18 murder charges and could remain in custody during those proceedings.",143
./cnn/stories/42d01e187213e86f5fe617fe32e716ff7fa3afc4.story,The court aquitted Moninder Singh Pandher of what crime?,rape and murder,rape and murder,style,paraphrase,0,Paraphrase this.,3,"The Allahabad High Court decided on Friday that Moninder Singh Pandher, a prominent businessman, will not be given the death sentence in the ""house of horrors"" case. In contrast, his house help, Surinder Koli, is scheduled to receive a death sentence. Pandher had previously been given a death sentence by a lower court in February for the rape and murder of a 14-year-old girl, one of 19 victims in a series of brutal crimes. Although he was not initially considered a key suspect and had claimed he was in Australia at the time of the offense, he was later included as a co-accused. Pandher is still awaiting trial on the remaining 18 murder charges and may continue to be held in custody until those cases are resolved.",156
