qid,group,instruction_type,run,step,fact,label,raw
2hop__14092_8311,content,elaborate,0,1,Walter Calverley is a person.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Walter Calverley was the eldest son and heir of William Calverley.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Katherine Thorneholme was the wife of William Calverley.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Katherine Thorneholme was the daughter of John Thorneholme.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,"John Thorneholme was from Haysthorpe, Yorkshire.",SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,William Calverley was the son of Sir Walter Calverley and Anne Danby.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Anne Danby was the daughter of Sir Christopher Danby.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,"Anne Danby was the daughter of Richard Neville, 2nd Baron Latimer.",SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Sir William Maule is a person.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Sir William Maule was the eldest son of Sir Peter Maule.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Sir William Maule was the eldest son of Christina de Valognes.,NOT_SUPPORTED,False
2hop__14092_8311,content,elaborate,0,1,Sir William Maule was a Baron.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Sir William Maule was a Baroness.,NOT_SUPPORTED,False
2hop__14092_8311,content,elaborate,0,1,William succeeded as Baron in 1254.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,William's father died.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,He was married to Ethana de Vallibus.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,"Ethana de Vallibus was the daughter of John Vaux, Lord of Dirleton.",SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,"He left one son, Henry Maule.",SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Henry Maule succeeded him as Baron.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,John is the King of England.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,John had a first wife named Isabel.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Isabel was the Countess of Gloucester.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Isabel was imprisoned.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Isabel was released from imprisonment in 1214.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Isabel remarried twice.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Isabel died in 1217.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,John had a second wife named Isabella of Angoulême.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Isabella of Angoulême left England.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Isabella of Angoulême went to Angoulême.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Isabella of Angoulême became a regional leader.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Isabella of Angoulême abandoned her children.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,John had five children.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,John's children were all legitimate.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,John's children were all by Isabella.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Henry III was the eldest son.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Henry III ruled as king.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Henry III ruled for the majority of the 13th century.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Richard became a noted European leader.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Richard became the King of the Romans.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Richard was the King of the Romans in the Holy Roman Empire.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Joan married Alexander II of Scotland.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Joan became his queen consort.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Isabella married Frederick II.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,He has a youngest daughter called Eleanor.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Eleanor married William Marshal's son.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,William Marshal's son is also called William.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,William married Eleanor.,NOT_SUPPORTED,False
2hop__14092_8311,content,elaborate,0,1,Eleanor later married Simon de Montfort.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Simon de Montfort is famous.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,John had illegitimate children.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,John had nine sons.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,John had three daughters.,NOT_SUPPORTED,False
2hop__14092_8311,content,elaborate,0,1,Richard is a son.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Oliver is a son.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,John is a son.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Geoffrey is a son.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Henry is a son.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Osbert Gifford is a son.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Eudes is a son.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Bartholomew is a son.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Philip is a son.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Joan is a daughter.,NOT_SUPPORTED,False
2hop__14092_8311,content,elaborate,0,1,Maud is a daughter.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Joan became famous.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,Joan married Prince Llywelyn the Great of Wales.,SUPPORTED,True
2hop__14092_8311,content,elaborate,0,1,HMS Farnham Castle is a ship.,NOT_SUPPORTED,False
2hop__14092_8311,content,elaborate,0,1,She was laid down at John Crown & Sons Ltd in Sunderland on 25 June 1943.,NOT_SUPPORTED,False
2hop__14092_8311,content,elaborate,0,1,She was launched on 25 April 1944.,NOT_SUPPORTED,False
2hop__14092_8311,content,elaborate,0,1,She was commissioned on 31 January 1945.,NOT_SUPPORTED,False
2hop__14092_8311,content,elaborate,0,1,Liu Ju is a person.,NOT_SUPPORTED,False
2hop__14092_8311,content,elaborate,0,1,Liu Ju was formally known as Crown Prince Wei.,NOT_SUPPORTED,False
2hop__14092_8311,content,elaborate,0,1,Liu Ju was posthumously as Crown Prince Li.,NOT_SUPPORTED,False
2hop__14092_8311,content,elaborate,0,1,Liu Ju was a Western Han Dynasty crown prince.,NOT_SUPPORTED,False
