qid,group,instruction_type,run,step,question,gold_answer,gold_answer_aliases,predicted_answer,matched_reference,answer_f1
./cnn/stories/00ae31ff5ede1de6cd39eccf36bae935c882527b.story,content,elaborate,0,0,How many infants in China are reported ill from the tainted milk powder?,"nearly 53,000","nearly 53,000","53,000","nearly 53,000",0.6666666666666666
./cnn/stories/00ae31ff5ede1de6cd39eccf36bae935c882527b.story,content,elaborate,0,1,How many infants in China are reported ill from the tainted milk powder?,"nearly 53,000","nearly 53,000","nearly 53,000","nearly 53,000",1.0
./cnn/stories/00ae31ff5ede1de6cd39eccf36bae935c882527b.story,content,elaborate,0,2,How many infants in China are reported ill from the tainted milk powder?,"nearly 53,000","nearly 53,000","53,000","nearly 53,000",0.6666666666666666
./cnn/stories/00ae31ff5ede1de6cd39eccf36bae935c882527b.story,content,elaborate,0,3,How many infants in China are reported ill from the tainted milk powder?,"nearly 53,000","nearly 53,000",53000,"nearly 53,000",0.6666666666666666
./cnn/stories/00ae31ff5ede1de6cd39eccf36bae935c882527b.story,content,elaborate,1,0,How many infants in China are reported ill from the tainted milk powder?,"nearly 53,000","nearly 53,000","53,000","nearly 53,000",0.6666666666666666
./cnn/stories/00ae31ff5ede1de6cd39eccf36bae935c882527b.story,content,elaborate,1,1,How many infants in China are reported ill from the tainted milk powder?,"nearly 53,000","nearly 53,000","nearly 53,000","nearly 53,000",1.0
./cnn/stories/00ae31ff5ede1de6cd39eccf36bae935c882527b.story,content,elaborate,1,2,How many infants in China are reported ill from the tainted milk powder?,"nearly 53,000","nearly 53,000","nearly 53,000","nearly 53,000",1.0
./cnn/stories/00ae31ff5ede1de6cd39eccf36bae935c882527b.story,content,elaborate,1,3,How many infants in China are reported ill from the tainted milk powder?,"nearly 53,000","nearly 53,000",At least four,"nearly 53,000",0.0
./cnn/stories/00ae31ff5ede1de6cd39eccf36bae935c882527b.story,content,elaborate,2,0,How many infants in China are reported ill from the tainted milk powder?,"nearly 53,000","nearly 53,000","53,000","nearly 53,000",0.6666666666666666
./cnn/stories/00ae31ff5ede1de6cd39eccf36bae935c882527b.story,content,elaborate,2,1,How many infants in China are reported ill from the tainted milk powder?,"nearly 53,000","nearly 53,000","13,000","nearly 53,000",0.0
./cnn/stories/00ae31ff5ede1de6cd39eccf36bae935c882527b.story,content,elaborate,2,2,How many infants in China are reported ill from the tainted milk powder?,"nearly 53,000","nearly 53,000",At least four,"nearly 53,000",0.0
./cnn/stories/00ae31ff5ede1de6cd39eccf36bae935c882527b.story,content,elaborate,2,3,How many infants in China are reported ill from the tainted milk powder?,"nearly 53,000","nearly 53,000",At least four,"nearly 53,000",0.0
