qid,group,instruction_type,run,step,question,gold_answer,predicted_answer,matched_reference,answer_f1,raw_predicted_answer
2hop__635544_110949,content,elaborate,0,0,What is the date of birth of the person who was part of Ratata?,11 September 1962,Mauro Scocco; 11 September 1962,11 September 1962,0.7499999999999999,Mauro Scocco; 11 September 1962
2hop__635544_110949,content,elaborate,0,1,What is the date of birth of the person who was part of Ratata?,11 September 1962,"Mauro Scocco, September 11, 1962",11 September 1962,0.7499999999999999,"Mauro Scocco, September 11, 1962"
2hop__635544_110949,content,elaborate,0,2,What is the date of birth of the person who was part of Ratata?,11 September 1962,"Mauro Scocco, September 11, 1962",11 September 1962,0.7499999999999999,"Mauro Scocco, September 11, 1962"
2hop__635544_110949,content,elaborate,0,3,What is the date of birth of the person who was part of Ratata?,11 September 1962,"Mauro Scocco, September 11, 1962",11 September 1962,0.7499999999999999,"Mauro Scocco, September 11, 1962"
2hop__635544_110949,content,shorten,0,0,What is the date of birth of the person who was part of Ratata?,11 September 1962,Mauro Scocco; 11 September 1962,11 September 1962,0.7499999999999999,Mauro Scocco; 11 September 1962
2hop__635544_110949,content,shorten,0,1,What is the date of birth of the person who was part of Ratata?,11 September 1962,"Mauro Scocco, born 11 September 1962",11 September 1962,0.6666666666666666,"Mauro Scocco, born 11 September 1962"
2hop__635544_110949,content,shorten,0,2,What is the date of birth of the person who was part of Ratata?,11 September 1962,"September 11, 1962",11 September 1962,1.0,"September 11, 1962"
2hop__635544_110949,content,shorten,0,3,What is the date of birth of the person who was part of Ratata?,11 September 1962,11 September 1962,11 September 1962,1.0,11 September 1962
2hop__635544_110949,style,formality,0,0,What is the date of birth of the person who was part of Ratata?,11 September 1962,Mauro Scocco; 11 September 1962,11 September 1962,0.7499999999999999,Mauro Scocco; 11 September 1962
2hop__635544_110949,style,formality,0,1,What is the date of birth of the person who was part of Ratata?,11 September 1962,"Mauro Scocco, 11 September 1962",11 September 1962,0.7499999999999999,"Mauro Scocco, 11 September 1962"
2hop__635544_110949,style,formality,0,2,What is the date of birth of the person who was part of Ratata?,11 September 1962,"Mauro Scocco, 11 September 1962",11 September 1962,0.7499999999999999,"Mauro Scocco, 11 September 1962"
2hop__635544_110949,style,formality,0,3,What is the date of birth of the person who was part of Ratata?,11 September 1962,"Mauro Scocco, 11 September 1962",11 September 1962,0.7499999999999999,"Mauro Scocco, 11 September 1962"
2hop__635544_110949,style,paraphrase,0,0,What is the date of birth of the person who was part of Ratata?,11 September 1962,Mauro Scocco; 11 September 1962,11 September 1962,0.7499999999999999,Mauro Scocco; 11 September 1962
2hop__635544_110949,style,paraphrase,0,1,What is the date of birth of the person who was part of Ratata?,11 September 1962,"September 11, 1962",11 September 1962,1.0,"September 11, 1962"
2hop__635544_110949,style,paraphrase,0,2,What is the date of birth of the person who was part of Ratata?,11 September 1962,"Mauro Scocco, September 11, 1962",11 September 1962,0.7499999999999999,"Mauro Scocco, September 11, 1962"
2hop__635544_110949,style,paraphrase,0,3,What is the date of birth of the person who was part of Ratata?,11 September 1962,"Mauro Scocco, September 11, 1962",11 September 1962,0.7499999999999999,"Mauro Scocco, September 11, 1962"
