qid,group,instruction_type,run,step,fact,original_label,label,reason,evidence_match
4hop3__673447_132409_371500_35031,content,elaborate,0,1,Java is the world's most populous island.,NOT_SUPPORTED,UNVERIFIABLE,"The ground truth mentions that Jakarta is located on the world's most populous island, Java, but does not explicitly state that Java is the world's most populous island.",none
4hop3__673447_132409_371500_35031,content,elaborate,0,1,Jakarta is a province.,NOT_SUPPORTED,DISTORTED,"The claim states that Jakarta is a province, while the ground truth describes Jakarta as a province with special capital region status, indicating it is more than just a province.",Jakarta is officially a province with special capital region status
4hop3__673447_132409_371500_35031,content,elaborate,0,1,Jakarta is generally referred to as a single city.,NOT_SUPPORTED,SUPPORTED,"The ground truth states that Jakarta is commonly referred to as a city, indicating that it is generally viewed as a single entity.","Jakarta is officially a province with special capital region status, yet is commonly referred to as a city."
4hop3__673447_132409_371500_35031,content,elaborate,0,1,The Jakarta provincial government oversees one administrative regency.,NOT_SUPPORTED,DISTORTED,"The claim states that the Jakarta provincial government oversees one administrative regency, but the ground truth mentions that Jakarta administers five administrative cities and one administrative regency, which implies that the claim is misleading regarding the number of administrative cities.",The Jakarta provincial government administers five administrative cities and one administrative regency.
4hop3__673447_132409_371500_35031,content,elaborate,0,1,There is one administrative regency overseen by the Jakarta provincial government.,NOT_SUPPORTED,DISTORTED,"The claim states there is one administrative regency overseen by the Jakarta provincial government, but the ground truth mentions that the Jakarta provincial government administers five administrative cities and one administrative regency.",The Jakarta provincial government administers five administrative cities and one administrative regency.
4hop3__673447_132409_371500_35031,content,elaborate,0,2,Java is the most densely populated island on Earth.,NOT_SUPPORTED,INVENTED,"The claim about Java being the most densely populated island is not mentioned or supported by the ground truth, which focuses on Jakarta and its metropolitan area.",none
4hop3__673447_132409_371500_35031,content,elaborate,0,2,People often refer to Jakarta as a province.,NOT_SUPPORTED,SUPPORTED,"The ground truth states that Jakarta is officially a province with special capital region status, which supports the claim that people often refer to Jakarta as a province.",The Jakarta provincial government administers five administrative cities and one administrative regency.
4hop3__673447_132409_371500_35031,content,elaborate,0,2,The Jakarta provincial administration manages a total of six local government regions.,NOT_SUPPORTED,UNVERIFIABLE,The ground truth mentions that Jakarta is administered by a provincial government but does not specify the number of local government regions managed.,none
4hop3__673447_132409_371500_35031,content,elaborate,0,2,"There is one administrative regency, which is Kampung Bande in West Jakarta.",NOT_SUPPORTED,INVENTED,"The claim introduces specific information about an administrative regency named Kampung Bande in West Jakarta, which is not mentioned in the ground truth.",none
4hop3__673447_132409_371500_35031,content,elaborate,0,3,It has a deep and complex history.,NOT_SUPPORTED,UNVERIFIABLE,"The ground truth does not provide any information regarding the history of the subject in question, making it impossible to verify the claim.",none
4hop3__673447_132409_371500_35031,content,elaborate,0,3,Java is the most densely populated island on the planet.,NOT_SUPPORTED,UNVERIFIABLE,The ground truth does not provide information about the population density of Java or any comparison to other islands.,none
4hop3__673447_132409_371500_35031,content,elaborate,0,3,Java is located on the northwest coast.,NOT_SUPPORTED,SUPPORTED,"The claim that Java is located on the northwest coast is supported by the ground truth, which states that Jakarta is located on the northwest coast of the world's most populous island of Java.",Jakarta is located on the northwest coast of the world's most populous island of Java
4hop3__673447_132409_371500_35031,content,elaborate,0,3,The Jakarta provincial administration oversees six local government districts.,NOT_SUPPORTED,UNVERIFIABLE,The ground truth mentions that Jakarta is administered by a provincial government but does not specify the number of local government districts overseen.,none
4hop3__673447_132409_371500_35031,content,elaborate,0,3,"There are five urban ""kecamatan"" classified as administrative cities.",NOT_SUPPORTED,INVENTED,"The claim about five urban 'kecamatan' classified as administrative cities is not mentioned in the ground truth, which discusses Jakarta's administrative structure but does not specify the number of urban 'kecamatan'.",none
4hop3__673447_132409_371500_35031,content,elaborate,0,3,"The five urban ""kecamatan"" are West Jakarta, North Jakarta, East Jakarta, South Jakarta, and Central Jakarta.",NOT_SUPPORTED,INVENTED,The claim introduces specific names of urban 'kecamatan' in Jakarta that are not mentioned in the ground truth.,none
4hop3__673447_132409_371500_35031,content,elaborate,0,3,"There is one rural ""kecamatan"" called Kampung Bande in West Jakarta.",NOT_SUPPORTED,INVENTED,"The claim introduces information about a rural 'kecamatan' called Kampung Bande in West Jakarta, which is not mentioned in the ground truth.",none
4hop3__673447_132409_371500_35031,content,elaborate,0,3,Kampung Bande is the sole administrative regency within the province.,NOT_SUPPORTED,INVENTED,"The claim introduces information about Kampung Bande being the sole administrative regency, which is not mentioned in the ground truth.",none
4hop3__673447_132409_371500_35031,content,elaborate,0,3,This vast urban conurbation is the second largest in the world.,NOT_SUPPORTED,DISTORTED,"The claim states that the urban conurbation is the second largest in the world, while the ground truth indicates that Greater Jakarta is the second largest urban agglomeration, but does not explicitly state it is the second largest in the world overall.",Greater Jakarta is the second largest urban agglomeration and 2nd largest city area in the world after Tokyo
4hop3__673447_132409_371500_35031,content,elaborate,0,3,The population exceeds 30 million according to the 2010 census.,NOT_SUPPORTED,SUPPORTED,"The claim that the population exceeds 30 million is supported by the ground truth, which states that the Greater Jakarta metropolitan area has a population of 30,214,303 inhabitants as of the 2010 census.","Greater Jakarta metropolitan area... with a population of 30,214,303 inhabitants as of 2010 census."
4hop3__673447_132409_371500_35031,content,elaborate,1,1,Java is the world's most populous island.,NOT_SUPPORTED,UNVERIFIABLE,"The ground truth mentions that Jakarta is located on the world's most populous island, Java, but does not explicitly state that Java is the world's most populous island.",none
4hop3__673447_132409_371500_35031,content,elaborate,1,1,The city has higher living standards.,NOT_SUPPORTED,UNVERIFIABLE,"The ground truth does not provide specific information about living standards in the city, making it impossible to verify the claim.",none
4hop3__673447_132409_371500_35031,content,elaborate,1,2,Java is the most densely populated island in the world.,NOT_SUPPORTED,UNVERIFIABLE,The ground truth does not provide information about the population density of Java or any comparison to other islands.,none
4hop3__673447_132409_371500_35031,content,elaborate,1,2,The larger metropolitan region is the second largest urban agglomeration globally after Tokyo.,NOT_SUPPORTED,SUPPORTED,"The claim that the larger metropolitan region is the second largest urban agglomeration globally after Tokyo is supported by the ground truth, which states that the Greater Jakarta metropolitan area is the second largest urban agglomeration in the world after Tokyo.",Greater Jakarta metropolitan area is the second largest urban agglomeration and 2nd largest city area in the world after Tokyo
4hop3__673447_132409_371500_35031,content,elaborate,1,2,The Jakarta provincial government has jurisdiction over one regency.,NOT_SUPPORTED,DISTORTED,"The claim states that the Jakarta provincial government has jurisdiction over one regency, but the ground truth mentions that Jakarta administers five administrative cities and one administrative regency, which implies more than one regency.",The Jakarta provincial government administers five administrative cities and one administrative regency.
4hop3__673447_132409_371500_35031,content,elaborate,1,3,Java is the world's most densely populated island.,NOT_SUPPORTED,UNVERIFIABLE,"The ground truth mentions that Jakarta is located on the world's most populous island, Java, but does not provide information about its population density or whether it is the most densely populated island.",none
4hop3__673447_132409_371500_35031,content,elaborate,1,3,Jakarta is the country's main hub for cultural activities.,NOT_SUPPORTED,UNVERIFIABLE,"The ground truth mentions Jakarta as the center of economics, culture, and politics of Indonesia, but does not explicitly state that it is the main hub for cultural activities.",none
