qid,instruction_type,run,step,fact,label
2hop__128342_375952,elaborate,0,1,Chelyabinsk is a place.,SURVIVED
2hop__128342_375952,elaborate,0,2,Chelyabinsk is a place.,SURVIVED
2hop__128342_375952,elaborate,0,3,Chelyabinsk is a place.,SURVIVED
2hop__128342_375952,elaborate,0,1,Chelyabinsk is a city.,SURVIVED
2hop__128342_375952,elaborate,0,2,Chelyabinsk is a city.,SURVIVED
2hop__128342_375952,elaborate,0,3,Chelyabinsk is a city.,SURVIVED
2hop__128342_375952,elaborate,0,1,Chelyabinsk is the administrative center of Chelyabinsk Oblast.,SURVIVED
2hop__128342_375952,elaborate,0,2,Chelyabinsk is the administrative center of Chelyabinsk Oblast.,SURVIVED
2hop__128342_375952,elaborate,0,3,Chelyabinsk is the administrative center of Chelyabinsk Oblast.,SURVIVED
2hop__128342_375952,elaborate,0,1,Chelyabinsk is located in the northeast of Chelyabinsk Oblast.,SURVIVED
2hop__128342_375952,elaborate,0,2,Chelyabinsk is located in the northeast of Chelyabinsk Oblast.,LOST
2hop__128342_375952,elaborate,0,3,Chelyabinsk is located in the northeast of Chelyabinsk Oblast.,LOST
2hop__128342_375952,elaborate,0,1,Chelyabinsk is south of Yekaterinburg.,LOST
2hop__128342_375952,elaborate,0,2,Chelyabinsk is south of Yekaterinburg.,SURVIVED
2hop__128342_375952,elaborate,0,3,Chelyabinsk is south of Yekaterinburg.,SURVIVED
2hop__128342_375952,elaborate,0,1,Chelyabinsk is just to the east of the Ural Mountains.,SURVIVED
2hop__128342_375952,elaborate,0,2,Chelyabinsk is just to the east of the Ural Mountains.,LOST
2hop__128342_375952,elaborate,0,3,Chelyabinsk is just to the east of the Ural Mountains.,LOST
2hop__128342_375952,elaborate,0,1,Chelyabinsk is on the Miass River.,SURVIVED
2hop__128342_375952,elaborate,0,2,Chelyabinsk is on the Miass River.,SURVIVED
2hop__128342_375952,elaborate,0,3,Chelyabinsk is on the Miass River.,SURVIVED
2hop__128342_375952,elaborate,0,1,Chelyabinsk is on the border of Europe and Asia.,SURVIVED
2hop__128342_375952,elaborate,0,2,Chelyabinsk is on the border of Europe and Asia.,SURVIVED
2hop__128342_375952,elaborate,0,3,Chelyabinsk is on the border of Europe and Asia.,SURVIVED
