qid,instruction_type,run,step,question,gold_answer,predicted_answer,bleurt_answer,human_label,auto_label_f1
2hop__107601_110222,elaborate,1,3,When is the birthday of the creator of Le ruisseau noir?,10 June 1819,"December 21, 1860",0.3959007859230041,,0
2hop__14092_8311,elaborate,0,1,When was John's eldest son crowned?,1216,1220,0.4560859203338623,,0
2hop__14092_8311,shorten,0,1,When was John's eldest son crowned?,1216,1220,0.4560859203338623,,0
2hop__144658_599630,formality,0,1,What county was Ye Rongguang born in?,Yongjia County,Zhejiang,0.3112335801124573,,0
2hop__144658_599630,formality,2,1,What county was Ye Rongguang born in?,Yongjia County,Wenzhou,0.3288457989692688,,0
2hop__144658_599630,formality,2,2,What county was Ye Rongguang born in?,Yongjia County,"Wenzhou, Zhejiang Province",0.542410671710968,,0
2hop__153532_45326,paraphrase,1,1,How many episodes are in season 5 of the series The Bag or the Bat is part of?,12,14,0.3159325718879699,,0
2hop__153532_45326,shorten,1,2,How many episodes are in season 5 of the series The Bag or the Bat is part of?,12,"The Bag or the Bat is not part of any series; it is a South Park episode from season 17. However, based on the context provided, The Mindy Project and Arrested Development are the only series mentioned with season 5 details. The Mindy Project had 14 episodes in season 5.",0.3145805597305298,,0
2hop__155781_155922,formality,0,2,What does the river that Darling Mills Creek turns into flow into?,Sydney Harbour,Susquehanna River,0.3290156126022339,,0
2hop__155781_155922,formality,2,3,What does the river that Darling Mills Creek turns into flow into?,Sydney Harbour,Susquehanna River,0.3290156126022339,,0
2hop__199216_33564,formality,1,3,During what era was the manufacturer of Agni-V founded?,From the 1950s to the 1970s,"The context does not provide information about when the manufacturer of Agni-V was founded. It only discusses the founding of Comdial (1982), Agni-I (first successful launch in 2002), and the 1978 film Agni. There is no mention of Agni-V or its manufacturer.",0.4412767887115478,,0
2hop__21103_16254,elaborate,2,1,"By 1931, what percentage of the world's Jews were the group of Jews that represented the bulk of modern Jewry?",92 percent,70-74%,0.5478922128677368,,0
2hop__21103_16254,elaborate,2,2,"By 1931, what percentage of the world's Jews were the group of Jews that represented the bulk of modern Jewry?",92 percent,70-74%,0.5478922128677368,,0
2hop__2299_38663,paraphrase,0,2,What percentage did the Dow Jones fall in the historical era where the book takes place?,54.7%,"The question asks for a percentage drop in the Dow Jones during the Great Depression, the era when ""To Kill a Mockingbird"" is set. However, the context does not provide a specific percentage for the Dow Jones fall during the Great Depression. It only gives a specific percentage for the 1987 crash (22",0.3110740184783935,,0
2hop__278022_71701,elaborate,1,2,what year did the Japanese get to city where Wang Yue died and the rest of Guangdong province?,November 5,1949,0.3375654816627502,,0
2hop__278022_71701,formality,2,2,what year did the Japanese get to city where Wang Yue died and the rest of Guangdong province?,November 5,1949,0.3375654816627502,,0
2hop__278022_71701,paraphrase,1,3,what year did the Japanese get to city where Wang Yue died and the rest of Guangdong province?,November 5,2016,0.3793200850486755,,0
2hop__278022_71701,shorten,0,1,what year did the Japanese get to city where Wang Yue died and the rest of Guangdong province?,November 5,2016,0.3793200850486755,,0
2hop__341305_332933,elaborate,0,1,What is the capital of the county that Pine Springs is located in?,Van Horn,"I don't have information about the county that Pine Springs is the capital of. Based on the provided context, Pine Springs is described as an unincorporated community in Culberson County, Texas, and it does not state that it is a county capital. The context does not mention the capital of Culberson",0.4673755764961242,,0
2hop__341305_332933,elaborate,2,2,What is the capital of the county that Pine Springs is located in?,Van Horn,Alpine,0.3937718570232391,,0
2hop__341305_332933,shorten,2,2,What is the capital of the county that Pine Springs is located in?,Van Horn,Alpine,0.3937718570232391,,0
2hop__398344_85513,paraphrase,2,2,When is the next episode of the series that Steven the Sword Fighter is a part of being released?,TBD,No information provided about upcoming releases.,0.3245630860328674,,0
2hop__398344_85513,shorten,0,1,When is the next episode of the series that Steven the Sword Fighter is a part of being released?,TBD,Not specified,0.3415510356426239,,0
2hop__403580_37168,paraphrase,1,3,"According to QS World University Rankings, what is the ranking of the place that employed Said Ashour?",551-600,401–500,0.7215084433555603,,0
2hop__43283_86694,elaborate,0,1,Who has the most wins in the league that wins the All Star Game more often?,New York Yankees,Los Angeles Lakers,0.4162194728851318,,0
2hop__43283_86694,elaborate,0,2,Who has the most wins in the league that wins the All Star Game more often?,New York Yankees,Major League Baseball,0.373149037361145,,0
2hop__442516_595885,elaborate,0,3,Which country has a body of water that was inspiration for the name of the Mara Region?,Tanzania,Kenya,0.3806940913200378,,0
2hop__442516_595885,elaborate,1,3,Which country has a body of water that was inspiration for the name of the Mara Region?,Tanzania,Kenya,0.3806940913200378,,0
2hop__442516_595885,formality,1,3,Which country has a body of water that was inspiration for the name of the Mara Region?,Tanzania,Kenia,0.3234080374240875,,0
2hop__442516_595885,formality,2,1,Which country has a body of water that was inspiration for the name of the Mara Region?,Tanzania,Kenya,0.3806940913200378,,0
2hop__442516_595885,formality,2,2,Which country has a body of water that was inspiration for the name of the Mara Region?,Tanzania,Kenya,0.3806940913200378,,0
2hop__442516_595885,paraphrase,0,1,Which country has a body of water that was inspiration for the name of the Mara Region?,Tanzania,Kenya,0.3806940913200378,,0
2hop__47712_25719,elaborate,2,3,At the end of which year did tribes from the place where the Celts are said to have migrated from invade the Roman empire?,406,409,0.6670801639556885,,0
2hop__5658_25002,formality,0,3,How long did the pact last between Kravchuk and the person who signed the decree suspending the Communist Party of the Russian SFSR?,10-year,10 years,0.7528595328330994,,0
2hop__5658_25002,formality,2,3,How long did the pact last between Kravchuk and the person who signed the decree suspending the Communist Party of the Russian SFSR?,10-year,10 years,0.7528595328330994,,0
2hop__576118_25719,shorten,2,3,At the end of which year did tribes from the area where Linear Pottery culture was found invade the Roman Empire?,406,387 BC,0.3332633376121521,,0
2hop__61714_80069,formality,1,2,When does Pam and the person Pam marries on The Office get together?,in the fourth season,After the series finale,0.3177576661109924,,0
2hop__632870_22402,formality,0,3,How many students attend where Andre Dreiding is employed?,"nearly 25,000","Approximately 57,000",0.6807260513305664,,0
2hop__681463_402641,elaborate,0,3,Who is the sibling of Chiang Hsiao-wen?,Chiang Hsiao-wu,Bo Yikao,0.5191977620124817,,0
2hop__681463_402641,elaborate,1,2,Who is the sibling of Chiang Hsiao-wen?,Chiang Hsiao-wu,Bo Yikao,0.5191977620124817,,0
