qid,instruction_type,run,first_hit_step,duration,event_observed
./cnn/stories/00ae31ff5ede1de6cd39eccf36bae935c882527b.story,shorten,0,2,2,0
./cnn/stories/01d2bc258d5e13d1742cc75bbfa8b224c9760cd0.story,formality,2,2,1,1
./cnn/stories/01d2bc258d5e13d1742cc75bbfa8b224c9760cd0.story,paraphrase,1,2,1,1
./cnn/stories/01d2bc258d5e13d1742cc75bbfa8b224c9760cd0.story,shorten,0,2,2,0
./cnn/stories/03183babd26c3c85d26e125708c90d6df8c77390.story,elaborate,0,1,3,0
./cnn/stories/03183babd26c3c85d26e125708c90d6df8c77390.story,elaborate,1,1,1,1
./cnn/stories/03183babd26c3c85d26e125708c90d6df8c77390.story,elaborate,2,3,1,0
./cnn/stories/03183babd26c3c85d26e125708c90d6df8c77390.story,paraphrase,0,1,3,0
./cnn/stories/03183babd26c3c85d26e125708c90d6df8c77390.story,paraphrase,1,1,1,1
./cnn/stories/03183babd26c3c85d26e125708c90d6df8c77390.story,shorten,1,1,1,1
./cnn/stories/03183babd26c3c85d26e125708c90d6df8c77390.story,shorten,2,3,1,0
./cnn/stories/0a421106fb10078b00663df3e88c5ee6f0437a66.story,elaborate,2,2,1,1
./cnn/stories/0a6c7cbe5aa6c6de9c9e6ab14adc105da4937e9d.story,elaborate,0,1,1,1
./cnn/stories/0a6c7cbe5aa6c6de9c9e6ab14adc105da4937e9d.story,elaborate,1,3,1,0
./cnn/stories/0a6c7cbe5aa6c6de9c9e6ab14adc105da4937e9d.story,formality,0,2,1,1
./cnn/stories/0a6c7cbe5aa6c6de9c9e6ab14adc105da4937e9d.story,formality,1,3,1,0
./cnn/stories/0a6c7cbe5aa6c6de9c9e6ab14adc105da4937e9d.story,paraphrase,1,1,1,1
./cnn/stories/0a6c7cbe5aa6c6de9c9e6ab14adc105da4937e9d.story,paraphrase,2,1,1,1
./cnn/stories/0a6c7cbe5aa6c6de9c9e6ab14adc105da4937e9d.story,shorten,0,2,2,0
./cnn/stories/0a6c7cbe5aa6c6de9c9e6ab14adc105da4937e9d.story,shorten,2,1,3,0
./cnn/stories/0a7f6926e4e554149fcf99d81b4839d99c05c2ef.story,elaborate,0,2,1,1
./cnn/stories/0a7f6926e4e554149fcf99d81b4839d99c05c2ef.story,elaborate,1,3,1,0
./cnn/stories/0a7f6926e4e554149fcf99d81b4839d99c05c2ef.story,elaborate,2,2,1,1
./cnn/stories/0a7f6926e4e554149fcf99d81b4839d99c05c2ef.story,formality,0,1,2,1
./cnn/stories/0a7f6926e4e554149fcf99d81b4839d99c05c2ef.story,formality,1,1,2,1
./cnn/stories/0a7f6926e4e554149fcf99d81b4839d99c05c2ef.story,paraphrase,0,2,2,0
./cnn/stories/0a7f6926e4e554149fcf99d81b4839d99c05c2ef.story,paraphrase,1,1,1,1
./cnn/stories/0a7f6926e4e554149fcf99d81b4839d99c05c2ef.story,paraphrase,2,1,3,0
./cnn/stories/0a7f6926e4e554149fcf99d81b4839d99c05c2ef.story,shorten,1,1,1,1
./cnn/stories/137c5c29cca8405f8893056d739814ec2afb66bf.story,formality,0,1,2,1
./cnn/stories/137c5c29cca8405f8893056d739814ec2afb66bf.story,paraphrase,0,1,1,1
./cnn/stories/137c5c29cca8405f8893056d739814ec2afb66bf.story,paraphrase,1,1,1,1
./cnn/stories/137c5c29cca8405f8893056d739814ec2afb66bf.story,shorten,1,3,1,0
./cnn/stories/148413cea62e91556d19e4bc9bd22a6ab10876e8.story,formality,2,1,1,1
./cnn/stories/148413cea62e91556d19e4bc9bd22a6ab10876e8.story,shorten,0,2,2,0
./cnn/stories/1486bf735a2b6259aa2c511985d1235865281f41.story,elaborate,0,2,2,0
./cnn/stories/1486bf735a2b6259aa2c511985d1235865281f41.story,elaborate,1,1,3,0
./cnn/stories/1486bf735a2b6259aa2c511985d1235865281f41.story,elaborate,2,2,2,0
./cnn/stories/1486bf735a2b6259aa2c511985d1235865281f41.story,formality,0,1,3,0
./cnn/stories/1486bf735a2b6259aa2c511985d1235865281f41.story,formality,1,2,2,0
./cnn/stories/1486bf735a2b6259aa2c511985d1235865281f41.story,formality,2,2,2,0
./cnn/stories/1486bf735a2b6259aa2c511985d1235865281f41.story,paraphrase,0,1,3,0
./cnn/stories/1486bf735a2b6259aa2c511985d1235865281f41.story,paraphrase,1,1,3,0
./cnn/stories/1486bf735a2b6259aa2c511985d1235865281f41.story,paraphrase,2,1,3,0
./cnn/stories/1486bf735a2b6259aa2c511985d1235865281f41.story,shorten,0,1,3,0
./cnn/stories/1486bf735a2b6259aa2c511985d1235865281f41.story,shorten,1,3,1,0
./cnn/stories/1b5174e9a4a2c77cb677d87ebcc8a3098ddc608a.story,elaborate,0,1,3,0
./cnn/stories/1b5174e9a4a2c77cb677d87ebcc8a3098ddc608a.story,elaborate,1,1,3,0
./cnn/stories/1b5174e9a4a2c77cb677d87ebcc8a3098ddc608a.story,elaborate,2,1,3,0
./cnn/stories/1b5174e9a4a2c77cb677d87ebcc8a3098ddc608a.story,formality,0,1,3,0
./cnn/stories/1b5174e9a4a2c77cb677d87ebcc8a3098ddc608a.story,formality,1,1,3,0
